dif,R,RMSE,KGE,name,R_rank,RMSE_rank,all_rank
33.5,0.485061805,25.15398263,-4.392104697,Budburst_SoS_filterdoublelogisticthreshold_NDGI13,97,37,134
43.5,0.472629736,24.4555549,-3.987359347,Budburst_SoS_filterdoublelogisticthreshold_NDGI1,101,34,135
-7.5,0.545087975,30.34593393,-5.168427455,Budburst_SoS_filterdoublelogisticthreshold_NDVI3,76,61,137
32.5,0.448450278,23.90592382,-3.710020874,Budburst_mintomaxdoublelogistic_SoS_threshold_NDGI13,107,32,139
26.5,0.464572571,24.67734641,-4.039601901,Budburst_mintomaxdoublelogistic_SoS_threshold_NDGI2,103,36,139
-38.5,0.634723399,38.69656685,-9.218033048,Budburst_cubic_SoS_threshold_EVI5,26,113,139
27.5,0.493524098,27.03586373,-5.068124268,Budburst_SoS_filterdoublelogisticthreshold_NDGI2,93,48,141
-26.5,0.61804222,38.09535606,-12.24697636,Budburst_SoS_filterdoublelogisticthreshold_NDPI2,33,109,142
22.5,0.383384376,21.43577319,-2.440181318,Budburst_filtercubic_SoS_threshold_NDGI2,124,22,146
16.5,0.485437958,27.88536978,-5.084584684,Budburst_mintomaxdoublelogistic_SoS_threshold_NDGI3,95,52,147
30.5,0.572147956,33.26332092,-7.050325905,Budburst_mintomaxcubic_SoS_threshold_EVI1,66,81,147
-20.5,0.601818642,37.84943941,-8.5019357,Budburst_SoS_doublelogisticthreshold_NDVI5,39,108,147
10.5,0.495868107,28.87870871,-6.274291202,Budburst_mintomaxcubic_SoS_threshold_NDVI3,92,56,148
-38.5,0.626708936,39.33171421,-9.493292981,Budburst_mintomaxcubic_SoS_threshold_EVI5,30,118,148
40.5,0.42592273,24.66305739,-3.717087055,Budburst_mintomaxdoublelogistic_SoS_threshold_NDGI1,114,35,149
18.5,0.432698233,26.23091337,-4.162191354,Budburst_filtercubic_SoS_threshold_NDGI3,110,39,149
25.5,0.358986216,20.52401098,-1.94288159,Budburst_filtercubic_SoS_threshold_NDGI13,131,20,151
-32.5,0.581670878,35.68735393,-7.323239741,Budburst_SoS_filterdoublelogisticthreshold_EVI4,57,94,151
-27.5,0.592040781,37.21902762,-8.837543511,Budburst_cubic_SoS_threshold_NDVI5,49,103,152
-18.5,0.576011678,34.98458176,-7.003479079,Budburst_filtercubic_SoS_threshold_NDVI4,63,91,154
16.5,0.504735418,31.5079207,-6.641555616,Budburst_SoS_filterdoublelogisticthreshold_NDGI3,88,67,155
-20.5,0.598822742,38.76115118,-8.903549065,Budburst_mintomaxdoublelogistic_SoS_threshold_NDVI5,42,114,156
24.5,0.351156139,21.85837622,-2.409129094,Budburst_filtercubic_SoS_threshold_DVI1,133,24,157
8.5,0.502693945,31.9051104,-6.497911199,Budburst_mintomaxdoublelogistic_SoS_threshold_NDGI4,89,70,159
