dif,R,RMSE,KGE,name,,,,
24.5,0.351156139,21.85837622,-2.409129094,Budburst_filtercubic_SoS_threshold_DVI1,133,24,23,180
22.5,0.383384376,21.43577319,-2.440181318,Budburst_filtercubic_SoS_threshold_NDGI2,124,22,24,170
-26.5,0.648481326,23.33258209,-2.846365559,Budburst_filtercubic_SoS_threshold_NDPI2,23,27,25,75
-17.5,0.590875189,23.48360332,-2.989088275,Budburst_SoS_filterdoublelogisticthreshold_EVI2,51,28,26,105
6.5,0.587295749,22.32467536,-2.991239928,Budburst_mintomaxdoublelogistic_SoS_threshold_NDVI2,53,25,27,105
2.5,0.543812431,23.74574811,-3.014338485,Budburst_SoS_filterdoublelogisticthreshold_NDVI2,77,31,28,136
22.5,0.349666482,23.56635686,-3.234389648,Budburst_filtercubic_SoS_threshold_DVI13,135,29,29,193
32.5,0.448450278,23.90592382,-3.710020874,Budburst_mintomaxdoublelogistic_SoS_threshold_NDGI13,107,32,30,169
40.5,0.42592273,24.66305739,-3.717087055,Budburst_mintomaxdoublelogistic_SoS_threshold_NDGI1,114,35,31,180
-28.5,0.679104093,26.45964839,-3.792151315,Budburst_filtercubic_SoS_threshold_EVI3,11,40,32,83
-24.5,0.685499166,26.51495923,-3.984251016,Budburst_mintomaxdoublelogistic_SoS_threshold_EVI3,8,42,33,83
43.5,0.472629736,24.4555549,-3.987359347,Budburst_SoS_filterdoublelogisticthreshold_NDGI1,101,34,34,169
7.5,0.572507867,26.65906033,-4.005241708,Budburst_filtercubic_SoS_threshold_NDVI3,65,43,35,143
26.5,0.464572571,24.67734641,-4.039601901,Budburst_mintomaxdoublelogistic_SoS_threshold_NDGI2,103,36,36,175
-11.5,0.625822908,23.16150535,-4.07314983,Budburst_SoS_doublelogisticthreshold_EVI13,31,26,37,94
18.5,0.432698233,26.23091337,-4.162191354,Budburst_filtercubic_SoS_threshold_NDGI3,110,39,38,187
-16.5,0.645681702,24.04805495,-4.176935893,Budburst_SoS_doublelogisticthreshold_EVI2,24,33,39,96
-13.5,0.615738499,23.74272829,-4.316955405,Budburst_mintomaxcubic_SoS_threshold_EVI2,35,30,40,105
-3.5,0.584978975,26.74624289,-4.379690369,Budburst_SoS_doublelogisticthreshold_NDVI3,55,45,41,141
33.5,0.485061805,25.15398263,-4.392104697,Budburst_SoS_filterdoublelogisticthreshold_NDGI13,97,37,42,176
-24.5,0.669907344,27.11829501,-4.527232396,Budburst_SoS_doublelogisticthreshold_EVI3,15,49,43,107
-24.5,0.677608699,26.6892971,-4.598092145,Budburst_SoS_filterthreshold_EVI3,12,44,44,100
21.5,0.359368636,26.9841207,-4.614203047,Budburst_filtercubic_SoS_threshold_DVI2,129,47,45,221
-3.5,0.593576288,27.95174947,-4.67000817,Budburst_mintomaxdoublelogistic_SoS_threshold_NDVI3,48,53,46,147
19.5,0.29631954,28.25796703,-4.751291737,Budburst_SoS_filterthreshold_NDVI13,146,54,47,247
13.5,0.52201766,26.87407525,-4.891939555,Budburst_SoS_filterthreshold_NDVI3,83,46,48,177
17.5,0.312261117,27.68267719,-4.956552991,Budburst_SoS_filterthreshold_NDVI2,143,51,49,243
27.5,0.493524098,27.03586373,-5.068124268,Budburst_SoS_filterdoublelogisticthreshold_NDGI2,93,48,50,191
16.5,0.485437958,27.88536978,-5.084584684,Budburst_mintomaxdoublelogistic_SoS_threshold_NDGI3,95,52,51,198
-25.5,0.585297819,30.00389205,-5.093715778,Budburst_SoS_filterdoublelogisticthreshold_EVI3,54,59,52,165
-25.5,0.651534875,26.49094771,-5.117980538,Budburst_mintomaxcubic_SoS_threshold_EVI3,20,41,53,114
-25.5,0.651207919,26.22043963,-5.131300552,Budburst_cubic_SoS_threshold_EVI3,21,38,54,113
-7.5,0.545087975,30.34593393,-5.168427455,Budburst_SoS_filterdoublelogisticthreshold_NDVI3,76,61,55,192
16.5,0.615780758,27.20046197,-5.35764884,Budburst_mintomaxcubic_SoS_threshold_EVI13,34,50,56,140
-32.5,0.633637802,30.99631795,-5.430416013,Budburst_filtercubic_SoS_threshold_NDPI3,27,64,57,148
25.5,0.279482062,31.26458644,-5.549847381,Budburst_SoS_filterthreshold_NDVI1,149,66,58,273
-31.5,0.688477233,31.62536549,-5.796292217,Budburst_SoS_doublelogisticthreshold_EVI4,7,69,59,135
32.5,0.257536274,29.95489959,-5.821484628,Budburst_SoS_filterdoublelogisticthreshold_DVI1,174,58,60,292
-31.5,0.681179084,32.21624947,-5.980815008,Budburst_mintomaxdoublelogistic_SoS_threshold_EVI4,10,73,61,144
-12.5,0.598279979,32.29575396,-6.220890772,Budburst_SoS_doublelogisticthreshold_NDVI4,43,74,62,179
