dif,R,RMSE,KGE,name,dif_mean,R_rank,RMSE_rank,KGE_rank,rank
99.2857143,0.405737086,51.38989709,-22.81620799,Budburstmintomaxcubic_SoS_threshold_NDGI1,39.51920635,200,239,196,635
98.2857143,0.433760323,49.85369613,-27.42832885,Budburstmintomaxcubic_SoS_threshold_NDGI13,34.5646609,198,230,208,636
-32.7142857,0.19926413,46.72347154,-24.45079037,Budburstcubic_SoS_threshold_PPI1,30.11011545,235,202,202,639
-41.7142857,0.092323568,42.71061479,-32.74874888,Budburstdoublelogistic_SoS_threshold_NDPI13,-7.798975464,247,171,221,639
-50.7142857,0.11663303,47.60554666,-20.73868569,BudburstSoS_threshold_NDPI4,-33.75352092,244,207,190,641
-40.7142857,0.212506822,46.76567998,-31.50583638,Budburstcubic_SoS_threshold_NDGI2,23.74647908,233,203,217,653
-49.7142857,0.299008595,48.19312303,-45.9658865,BudburstSoS_threshold_NDVI3,-6.4353391,213,213,241,667
-47.7142857,0.115698822,45.85156984,-35.8871618,Budburstdoublelogistic_SoS_threshold_NDPI2,-14.07170274,245,198,225,668
-11.7142857,0.219528032,51.18425808,-24.22251983,Budburstcubic_SoS_threshold_NDGI1,37.0646609,230,238,201,669
-30.7142857,0.211680886,48.67027406,-27.84464406,Budburstcubic_SoS_threshold_NDGI13,30.51920635,234,223,212,669
-49.7142857,0.131533866,45.60417716,-39.47350465,BudburstSoS_threshold_EVI2,-2.026248191,243,194,232,669
-49.7142857,-0.097598308,45.68826353,-34.6987072,Budburstdoublelogistic_SoS_threshold_NDGI3,-10.48079365,262,195,223,680
-54.7142857,0.561003303,64.96929272,-86.69829319,Budburstmintomaxcubic_SoS_threshold_NDPI3,-13.9353391,166,255,264,685
-49.7142857,0.519474909,61.2145499,-69.71630142,BudburstSoS_threshold_PPI2,22.29193363,178,253,256,687
-63.7142857,0.546253736,67.25304088,-83.92405858,Budburstmintomaxcubic_SoS_threshold_NDPI4,-24.84443001,171,257,261,689
-17.7142857,-0.077921319,47.65797026,-34.8505622,Budburstdoublelogistic_SoS_threshold_NDGI1,17.33738817,258,208,224,690
-17.7142857,0.329497749,52.89496024,-45.32049627,BudburstSoS_threshold_NDVI1,23.97375181,210,244,239,693
-32.7142857,0.436912594,55.7677147,-57.6265252,BudburstSoS_threshold_NDGI2,19.24647908,196,249,249,694
-70.7142857,0.545267402,70.43495577,-85.46417971,Budburstmintomaxcubic_SoS_threshold_NDPI5,-31.34443001,172,262,263,697
-56.7142857,-0.008422608,48.35466338,-38.70756458,Budburstdoublelogistic_SoS_threshold_PPI3,-14.57170274,254,216,228,698
-17.7142857,0.473581913,81.16699188,-53.16222886,BudburstSoS_threshold_NDGI1,64.20102454,187,266,248,701
120.2857143,0.290072907,102.6293334,-32.14011565,BudburstSoS_threshold_PPI1,95.11011545,214,268,220,702
-29.7142857,-0.116990886,47.99091267,-39.22961433,Budburstdoublelogistic_SoS_threshold_NDGI13,8.837388173,264,209,230,703
-49.7142857,0.374622633,56.49885894,-65.29407345,BudburstSoS_threshold_PPI3,5.382842718,202,250,252,704
-33.7142857,-0.051961709,48.33897884,-41.63803235,Budburstdoublelogistic_SoS_threshold_NDPI1,5.473751809,257,215,234,706
-28.7142857,0.280568442,52.81437989,-51.86439449,BudburstSoS_threshold_NDVI13,14.42829726,220,243,245,708
-25.7142857,0.450996503,69.12404868,-67.48929343,BudburstSoS_threshold_NDGI13,39.79193363,194,260,254,708
-58.7142857,0.467369121,70.28901576,-85.00251984,Budburstmintomaxcubic_SoS_threshold_PPI5,-30.16261183,189,261,262,712
-36.7142857,0.435290543,66.43069553,-83.20877164,Budburstmintomaxcubic_SoS_threshold_PPI4,-20.88988455,197,256,260,713
-39.7142857,-0.00529968,49.17665531,-43.67029203,Budburstdoublelogistic_SoS_threshold_PPI13,6.291933627,253,227,237,717
-57.7142857,-0.095865996,49.86378292,-38.57327933,Budburstdoublelogistic_SoS_threshold_NDGI4,-17.66261183,261,231,227,719
-17.7142857,0.185259029,52.06059844,-45.59875937,BudburstSoS_threshold_EVI1,19.24647908,238,242,240,720
-49.7142857,0.267399982,55.14353297,-59.67226377,BudburstSoS_threshold_NDVI2,8.0646609,222,248,251,721
-49.7142857,0.284274483,57.18349033,-65.721047,BudburstSoS_threshold_NDGI3,3.201024536,217,251,253,721
-32.7142857,0.422839653,78.71951629,-69.80852614,BudburstSoS_threshold_PPI13,53.61011545,199,265,257,721
-63.7142857,0.328339884,61.50131846,-74.60470642,BudburstSoS_threshold_NDGI5,-11.20806637,211,254,259,724
-50.7142857,0.284499098,60.55445232,-73.73593609,BudburstSoS_threshold_NDGI4,-3.617157282,216,252,258,726
89.2857143,0.378777658,67.60584876,-94.218622,Budburstmintomaxcubic_SoS_threshold_PPI3,-0.571702736,201,258,268,727
-49.7142857,-0.247655666,49.41342123,-41.44575588,BudburstSoS_threshold_NDPI13,3.655569991,267,228,233,728
-28.7142857,0.190620195,53.16781995,-52.06163431,BudburstSoS_threshold_EVI13,12.97375181,237,245,246,728
-30.7142857,0.173804166,54.41176338,-49.38932403,Budburstdoublelogistic_SoS_threshold_PPI1,20.61011545,239,247,243,729
-37.7142857,-0.125458661,49.44119564,-43.12202042,Budburstdoublelogistic_SoS_threshold_NDGI2,3.337388173,265,229,236,730
-45.7142857,-0.034738896,50.97086392,-47.55125322,Budburstdoublelogistic_SoS_threshold_PPI2,0.246479082,256,236,242,734
95.2857143,0.332505099,68.59779313,-93.13175196,Budburstmintomaxcubic_SoS_threshold_PPI2,11.97375181,209,259,267,735
-64.7142857,-0.094706985,53.95335213,-42.05599495,Budburstdoublelogistic_SoS_threshold_NDGI5,-23.66261183,260,246,235,741
97.2857143,0.250209825,72.08489259,-92.28020962,Budburstmintomaxcubic_SoS_threshold_PPI13,24.42829726,224,263,266,753
99.2857143,0.218721027,73.363122,-88.867416,Budburstmintomaxcubic_SoS_threshold_PPI1,30.38284272,231,264,265,760
119.2857143,-0.196907858,83.59523257,-67.58991709,BudburstSoS_threshold_NDPI1,57.01920635,266,267,255,788
