dif,R,RMSE,KGE,name,dif_mean,R_rank,RMSE_rank,KGE_rank,rank
-20.5,0.278815415,14.70877597,-7.159472445,Budburstcubic_SoS_threshold_NDPI1,-13.76041668,144,63,30,237
7.5,0.254587163,7.350890444,-10.18598144,Budburstfilterdoublelogistic_SoS_threshold_PPI5,1.739583325,156,11,71,238
-19.5,0.281031654,12.76935487,-9.33943333,BudburstmintomaxSoS_threshold_NDPI13,-11.01041668,141,45,54,240
16.5,0.284840605,14.02357266,-8.82818257,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI3,12.61458333,137,57,49,243
9.5,0.378575313,10.22732077,-13.85681925,Budburstcubic_SoS_threshold_NDGI5,6.614583325,63,33,152,248
-25.5,0.43708393,21.56999669,-8.754413356,Budburstcubic_SoS_threshold_EVI3,-21.26041668,52,149,48,249
-28.5,0.47930486,22.51560031,-9.099668818,Budburstfilter_cubic_SoS_threshold_EVI3,-22.26041668,44,155,53,252
9.5,0.211936607,9.214694253,-7.621620144,Budburstdoublelogistic_SoS_threshold_NDGI4,6.739583325,190,25,38,253
10.5,0.346123824,10.27507941,-13.42734809,Budburstcubic_SoS_threshold_NDVI3,6.739583325,73,35,149,257
6.5,0.230165706,7.359387904,-10.13012167,Budburstmintomaxdoublelogistic_SoS_threshold_PPI5,1.614583325,177,12,70,259
14.5,0.312185666,12.4747314,-13.07298844,Budburstcubic_SoS_threshold_PPI4,9.864583325,97,41,122,260
12.5,0.236800714,9.397149758,-9.635016352,Budburstfilterdoublelogistic_SoS_threshold_PPI4,6.364583325,173,29,62,264
11.5,0.265930727,8.605604197,-11.36055942,Budburstfilter_cubic_SoS_threshold_PPI5,4.364583325,148,22,98,268
7.5,0.26545731,7.944741887,-11.7136547,Budburstdoublelogistic_SoS_threshold_PPI5,2.489583325,149,18,103,270
12.5,0.274439905,10.26899493,-11.2271141,Budburstdoublelogistic_SoS_threshold_PPI4,7.239583325,147,34,93,274
17.5,0.251800258,13.13686632,-9.576281025,Budburstfilterdoublelogistic_SoS_threshold_PPI3,11.36458333,163,52,61,276
-10.5,-0.017605183,7.431224014,-7.143366189,Budburstdoublelogistic_SoS_threshold_NDPI1,-3.135416675,237,13,29,279
-27.5,0.326677773,20.64769375,-9.382419771,Budburstmintomaxdoublelogistic_SoS_threshold_NDPI2,-20.01041668,89,137,55,281
11.5,0.334587873,10.21305163,-15.59726047,Budburstcubic_SoS_threshold_PPI5,5.864583325,85,32,165,282
10.5,0.212262868,9.259801487,-9.899945904,Budburstmintomaxdoublelogistic_SoS_threshold_PPI4,5.989583325,189,26,69,284
18.5,0.288366509,16.22736136,-10.39231625,Budburstfilter_cubic_SoS_threshold_NDGI3,14.86458333,134,75,77,286
7.5,0.55272397,15.85658928,-28.19866869,BudburstfilterSoS_threshold_PPI1,11.86458333,26,72,189,287
17.5,0.288147004,15.13116839,-11.01697513,Budburstfilter_cubic_SoS_threshold_NDVI2,13.48958333,135,66,89,290
-19.5,0.278035105,12.67601767,-11.63938757,BudburstmintomaxSoS_threshold_NDPI1,-10.38541668,146,43,102,291
15.5,0.238008444,13.0724809,-10.28377324,Budburstmintomaxdoublelogistic_SoS_threshold_PPI3,11.11458333,171,50,73,294
-27.5,0.352361092,24.16639728,-9.801068256,Budburstcubic_SoS_threshold_NDVI5,-23.88541668,69,160,66,295
22.5,0.347846024,21.12596562,-10.41364441,Budburstcubic_SoS_threshold_PPI1,20.36458333,72,144,79,295
-19.5,0.201383271,13.66009116,-8.053957107,BudburstmintomaxSoS_threshold_NDPI2,-12.26041668,200,55,41,296
15.5,0.254355133,13.48587867,-11.00690059,Budburstcubic_SoS_threshold_NDGI4,11.48958333,158,53,88,299
-20.5,0.209699222,15.33834271,-7.875278913,Budburstfilter_cubic_SoS_threshold_NDPI1,-14.26041668,193,69,39,301
20.5,0.278218095,18.13991244,-8.481780229,Budburstfilter_cubic_SoS_threshold_EVI1,17.36458333,145,110,47,302
22.5,0.300802565,17.49327747,-13.17567373,BudburstSoS_threshold_NDGI1,15.86458333,101,80,123,304
-28.5,0.340777602,24.19138464,-9.863682701,Budburstfilter_cubic_SoS_threshold_NDVI5,-23.88541668,77,161,68,306
-26.5,0.292208902,19.46455558,-8.946898102,Budburstfilterdoublelogistic_SoS_threshold_NDPI2,-18.76041668,130,125,52,307
18.5,0.291813487,14.81321786,-12.41724431,Budburstdoublelogistic_SoS_threshold_PPI3,12.86458333,131,64,112,307
22.5,0.300802565,17.49327747,-13.17567373,BudburstSoS_threshold_NDGI13,15.86458333,102,81,124,307
-19.5,0.086087114,13.48587868,-7.184945188,Budburstdoublelogistic_SoS_threshold_NDPI13,-12.13541668,225,54,31,310
22.5,0.300802565,17.49327747,-13.17567373,BudburstSoS_threshold_NDGI2,15.86458333,103,82,125,310
-31.5,0.508284075,27.90859648,-11.3498633,Budburstmintomaxdoublelogistic_SoS_threshold_EVI4,-27.76041668,38,177,97,312
22.5,0.309873976,20.52168991,-10.78369577,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI1,19.61458333,98,133,82,313
22.5,0.300802565,17.49327747,-13.17567373,BudburstSoS_threshold_NDGI3,15.86458333,104,83,126,313
15.5,0.29771644,12.35643247,-13.37190663,Budburstfilter_cubic_SoS_threshold_PPI4,9.614583325,126,40,148,314
22.5,0.300802565,17.49327747,-13.17567373,BudburstSoS_threshold_NDGI4,15.86458333,105,84,127,316
-31.5,0.477899696,27.7866531,-11.28444834,Budburstdoublelogistic_SoS_threshold_EVI4,-27.63541668,45,176,96,317
19.5,0.217281934,16.47644045,-9.505449384,Budburstcubic_SoS_threshold_NDGI3,15.23958333,185,76,58,319
22.5,0.300802565,17.49327747,-13.17567373,BudburstSoS_threshold_NDVI1,15.86458333,106,85,128,319
7.5,0.538077729,17.34136933,-48.5573226,BudburstfilterSoS_threshold_PPI13,10.23958333,32,79,208,319
22.5,0.300802565,17.49327747,-13.17567373,BudburstSoS_threshold_NDVI13,15.86458333,107,86,129,322
-23.5,0.237409175,17.83822461,-8.411926963,Budburstcubic_SoS_threshold_NDPI13,-17.01041668,172,107,45,324
-32.5,0.524435897,29.24099162,-11.89827371,Budburstfilterdoublelogistic_SoS_threshold_EVI4,-29.13541668,36,182,106,324
22.5,0.300802565,17.49327747,-13.17567373,BudburstSoS_threshold_NDVI2,15.86458333,108,87,130,325
22.5,0.300802565,17.49327747,-13.17567373,BudburstSoS_threshold_PPI13,15.86458333,109,88,131,328
17.5,0.193667139,15.38648509,-9.382969736,Budburstdoublelogistic_SoS_threshold_NDGI3,13.98958333,205,70,56,331
17.5,0.261672597,15.25116684,-12.31197316,Budburstcubic_SoS_threshold_PPI3,13.36458333,152,68,111,331
22.5,0.300802565,17.49327747,-13.17567373,BudburstSoS_threshold_PPI2,15.86458333,110,89,132,331
18.5,0.200414535,15.41083786,-9.563110156,Budburstcubic_SoS_threshold_NDVI2,13.98958333,201,71,60,332
-23.5,0.226509087,18.06798985,-8.417903321,Budburstfilter_cubic_SoS_threshold_NDPI13,-17.26041668,178,109,46,333
22.5,0.300802565,17.49327747,-13.17567373,BudburstSoS_threshold_PPI3,15.86458333,111,90,133,334
22.5,0.300802565,17.49327747,-13.17567373,BudburstmintomaxSoS_threshold_NDGI1,15.86458333,112,91,134,337
22.5,0.300802565,17.49327747,-13.17567373,BudburstmintomaxSoS_threshold_NDGI13,15.86458333,113,92,135,340
-32.5,0.423091741,29.07236243,-11.8974212,Budburstcubic_SoS_threshold_EVI4,-28.88541668,55,181,105,341
22.5,0.300802565,17.49327747,-13.17567373,BudburstmintomaxSoS_threshold_NDGI2,15.86458333,114,93,136,343
18.5,0.297938545,15.22382202,-13.79983138,Budburstfilter_cubic_SoS_threshold_PPI3,13.11458333,125,67,151,343
22.5,0.293879466,20.62396882,-10.63556407,Budburstdoublelogistic_SoS_threshold_NDVI1,19.73958333,129,136,81,346
22.5,0.300802565,17.49327747,-13.17567373,BudburstmintomaxSoS_threshold_NDGI3,15.86458333,115,94,137,346
22.5,0.300802565,17.49327747,-13.17567373,BudburstmintomaxSoS_threshold_NDGI4,15.86458333,116,95,138,349
22.5,0.300802565,17.49327747,-13.17567373,BudburstmintomaxSoS_threshold_EVI1,15.86458333,117,96,139,352
-19.5,0.708621434,19.15545415,-87.57233778,BudburstfilterSoS_threshold_PPI2,4.614583325,3,121,228,352
-19.5,0.795549517,18.99874356,-91.56905573,BudburstfilterSoS_threshold_NDGI1,2.489583325,2,120,230,352
19.5,0.24900791,17.65686146,-10.87528179,Budburstcubic_SoS_threshold_PPI2,16.36458333,165,103,85,353
