-3,0.69461803,28.2321001,0.177148319,Budburstfilterdoublelogistic_SoS_threshold_NDGI3,-9.266220105,29,43,98,170
-4,0.614959432,28.14068065,0.413195298,Budburstfilterdoublelogistic_SoS_threshold_EVI3,-15.61315888,65,42,65,172
-12,0.676675286,31.84372022,0.198235072,Budburstdoublelogistic_SoS_threshold_EVI5,-20.16417929,32,57,92,181
-11,0.579817288,30.07920673,0.455948681,Budburstfilter_cubic_SoS_threshold_NDPI3,-15.14377113,87,50,53,190
22,0.586301161,26.35817634,0.287035373,Budburstfilter_cubic_SoS_threshold_NDVI1,13.2848003,79,33,78,190
17,0.586886079,29.81426442,0.407299192,Budburstfilterdoublelogistic_SoS_threshold_PPI1,-6.776424186,78,48,66,192
-12,0.670442943,32.53169577,0.177928637,Budburstmintomaxdoublelogistic_SoS_threshold_EVI5,-21.22540378,35,62,97,194
-13,0.715188882,33.32772412,-0.013669301,Budburstdoublelogistic_SoS_threshold_NDVI5,-21.878465,10,66,124,200
19,0.490849968,27.903548,0.450235494,Budburstfilter_cubic_SoS_threshold_NDGI13,10.97867785,109,40,54,203
-17,0.70418192,31.76474107,-0.062314311,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI5,-16.34785276,20,56,129,205
-13,0.710681759,34.3722451,-0.04716093,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI5,-23.32744459,14,70,126,210
14,0.640275131,31.07476286,0.106801451,Budburstdoublelogistic_SoS_threshold_EVI13,11.121535,53,52,107,212
-10,0.695768048,31.76217722,-0.068238066,Budburstfilterdoublelogistic_SoS_threshold_NDGI4,-15.44989357,27,55,130,212
-10,0.659759507,33.96029088,0.123463942,Budburstfilterdoublelogistic_SoS_threshold_NDVI4,-24.51111806,43,69,105,217
22,0.571194293,27.29683713,0.208105368,Budburstfilter_cubic_SoS_threshold_EVI1,14.7337799,90,38,90,218
-10,0.613252005,32.53120256,0.203678719,Budburstfilterdoublelogistic_SoS_threshold_EVI4,-22.12336296,66,61,91,218
-10,0.580481485,32.34215981,0.328837742,Budburstfilter_cubic_SoS_threshold_NDGI4,-17.73560786,86,60,74,220
5,0.55011733,31.14041299,0.347253118,Budburstcubic_SoS_threshold_EVI3,3.509290099,96,53,72,221
9,0.647632165,30.41780656,0.010451911,Budburstdoublelogistic_SoS_threshold_EVI2,5.346024793,50,51,121,222
-9,0.340869157,33.8299595,0.76296484,Budburstmintomaxcubic_SoS_threshold_EVI3,-0.939689492,149,68,7,224
-12,0.569674893,32.69425433,0.249543246,Budburstfilter_cubic_SoS_threshold_EVI4,-20.83764868,91,65,83,239
-13,0.5920629,34.55623092,0.158123022,Budburstfilter_cubic_SoS_threshold_NDVI4,-23.63356704,71,71,102,244
10,0.588066088,33.55884604,0.106455499,Budburstfilterdoublelogistic_SoS_threshold_PPI13,-14.28662827,73,67,108,248
-7,0.574340343,32.30661602,0.12893363,Budburstcubic_SoS_threshold_EVI4,-7.021322146,88,58,104,250
-16,0.696335211,35.6836985,-0.307965598,Budburstfilterdoublelogistic_SoS_threshold_NDGI5,-21.04173031,26,75,152,253
28,0.28201916,35.83567139,0.689681302,BudburstmintomaxSoS_threshold_PPI1,4.080718671,164,76,17,257
23,0.327346921,35.40764583,0.612899343,BudburstmintomaxSoS_threshold_PPI13,-4.898873166,155,73,29,257
-15,0.599972722,35.12773696,0.024337254,Budburstcubic_SoS_threshold_EVI5,-18.51111806,69,72,118,259
-9,0.587189098,32.62611718,0.014246919,Budburstcubic_SoS_threshold_NDVI4,-6.449893574,77,64,120,261
15,0.582291663,32.59001505,0.02263214,Budburstmintomaxdoublelogistic_SoS_threshold_PPI1,-5.347852758,81,63,119,263
