R,RMSE,KGE,name
0.7989351928026438,65.4157257579258,-13.004934084274751,plantbudSoS_threshold_NDGI1
0.7053961328720102,51.99227520458678,-10.97540135557248,plantbudSoS_threshold_NDGI13
0.7175557382463388,39.38965487722033,-9.208656365774175,plantbudSoS_threshold_NDGI2
0.5626417330226777,21.426994147895197,-0.3137934359854724,plantbudSoS_threshold_NDGI3
0.4618114336153217,31.735110484420552,-1.4434837590573082,plantbudSoS_threshold_NDGI4
0.46658157791077665,33.726966073233534,-1.4707438101647554,plantbudSoS_threshold_NDGI5
0.5619080946941666,16.59923946139997,-0.05193700507576238,plantbudSoS_threshold_EVI1
0.5610396506713331,17.79353111077819,0.0022642003156378987,plantbudSoS_threshold_EVI13
0.6240614297633598,19.998883295913416,-0.27405135176839934,plantbudSoS_threshold_EVI2
0.5090109332226647,25.000946185143743,-0.6790028452109766,plantbudSoS_threshold_EVI3
0.46874502949670516,32.42264417428741,-1.4031497344189012,plantbudSoS_threshold_EVI4
0.45218316310433504,33.81405402078553,-1.4478619642438688,plantbudSoS_threshold_EVI5
0.7666284664887718,71.20742308121582,-14.246082601864128,plantbudSoS_threshold_NDPI1
0.4951064070685064,58.86933566801306,-13.92359397352905,plantbudSoS_threshold_NDPI13
0.1816134008245427,45.372957212841875,-9.644869881780801,plantbudSoS_threshold_NDPI2
0.5429168290788837,22.358739069541933,-0.45625544000587537,plantbudSoS_threshold_NDPI3
0.5096277766112159,24.668999249467568,-0.6668685975939417,plantbudSoS_threshold_NDPI4
0.4502005023817975,32.373275633938746,-1.3927248412915092,plantbudSoS_threshold_NDPI5
0.7745950078281807,57.56879669376466,-12.366609021087765,plantbudSoS_threshold_NDVI1
0.476369409848106,27.19498125075194,-3.598537375714402,plantbudSoS_threshold_NDVI13
0.5388478688650582,17.79920286396145,0.032363530533537466,plantbudSoS_threshold_NDVI2
0.6192912964310069,20.23123708631837,-0.2900115877166858,plantbudSoS_threshold_NDVI3
0.4870191627005308,25.127532848485394,-0.6788671299649962,plantbudSoS_threshold_NDVI4
0.45342786350279496,32.39682243502482,-1.4003447685472503,plantbudSoS_threshold_NDVI5
0.8184881275413184,67.09960605900703,-13.200857270649573,plantbudSoS_threshold_PPI1
0.7645916866341772,64.03943150554926,-13.1093962360934,plantbudSoS_threshold_PPI13
0.8195561935162448,58.19063311141466,-14.62017969700605,plantbudSoS_threshold_PPI2
0.48931273157278077,45.08695770431813,-11.69627918890049,plantbudSoS_threshold_PPI3
0.3088406427554931,25.709736374677522,-0.7559052451506121,plantbudSoS_threshold_PPI4
0.34169068659841245,43.294479580254176,-3.6329841925239066,plantbudSoS_threshold_PPI5
0.5903951015713795,29.62166736824036,-2.0406070580484132,plantbudfilterSoS_threshold_NDGI1
0.4534851377363295,22.73005632684051,-1.275460443379223,plantbudfilterSoS_threshold_NDGI13
0.495964940147235,19.83614373579876,-1.0574659379687237,plantbudfilterSoS_threshold_NDGI2
0.5580915462845867,21.95449097414775,-0.3608715117084924,plantbudfilterSoS_threshold_NDGI3
0.43888371272231,32.26870914387052,-1.4430839352770866,plantbudfilterSoS_threshold_NDGI4
0.4407926339566708,34.55863951574367,-1.4669442817259402,plantbudfilterSoS_threshold_NDGI5
0.5146896678992087,16.222170519723065,0.21831782154852142,plantbudfilterSoS_threshold_EVI1
0.5041493690910636,18.68923474980167,-0.05717626429659184,plantbudfilterSoS_threshold_EVI13
0.613515117856253,20.42400955391422,-0.3159950734803878,plantbudfilterSoS_threshold_EVI2
0.487164399292513,25.315938305795104,-0.7028744525774273,plantbudfilterSoS_threshold_EVI3
0.46389714450481306,32.599840274612255,-1.4039842379808256,plantbudfilterSoS_threshold_EVI4
0.4344294410867589,34.31755994648515,-1.4397992774527824,plantbudfilterSoS_threshold_EVI5
0.14687546629365322,30.201099381900264,-2.3444649065904555,plantbudfilterSoS_threshold_NDPI1
0.09430711970732743,26.5783026726245,-1.5109495527743935,plantbudfilterSoS_threshold_NDPI13
0.08745308454987417,23.016440446161802,-0.14117355852871882,plantbudfilterSoS_threshold_NDPI2
0.5429168290788837,22.358739069541933,-0.45625544000587537,plantbudfilterSoS_threshold_NDPI3
0.5096277766112159,24.668999249467568,-0.6668685975939417,plantbudfilterSoS_threshold_NDPI4
0.4502005023817975,32.373275633938746,-1.3927248412915092,plantbudfilterSoS_threshold_NDPI5
0.4422543698352406,20.43944275280141,-0.7182637141659642,plantbudfilterSoS_threshold_NDVI1
0.3487021196789506,17.362872733056168,0.3889869855954077,plantbudfilterSoS_threshold_NDVI13
0.5274513186154663,18.06026433239993,0.008421428989875746,plantbudfilterSoS_threshold_NDVI2
0.6085659495733838,20.568036353739505,-0.32287528617163597,plantbudfilterSoS_threshold_NDVI3
0.4772024887415234,25.25662851918595,-0.6899752552518938,plantbudfilterSoS_threshold_NDVI4
0.45461915386214224,32.434154695969546,-1.4007462005859144,plantbudfilterSoS_threshold_NDVI5
0.5401421517873639,31.154918549294816,-2.2549223882929894,plantbudfilterSoS_threshold_PPI1
0.4778674188725951,26.98701921257442,-2.0638256822520793,plantbudfilterSoS_threshold_PPI13
0.48343787313213044,23.06858356891808,-2.0580070760288054,plantbudfilterSoS_threshold_PPI2
0.41317467533204394,24.391519353824783,-1.6667903084329896,plantbudfilterSoS_threshold_PPI3
0.29274835031073854,26.13362978700635,-0.7748452611887569,plantbudfilterSoS_threshold_PPI4
0.35273168699236007,47.43636119912588,-5.05386418617052,plantbudfilterSoS_threshold_PPI5
0.45478237481329487,35.53875098723158,-4.04847995545303,plantbudmintomaxSoS_threshold_NDGI1
0.4481247401106665,25.16267747528164,-1.7347088829331403,plantbudmintomaxSoS_threshold_NDGI13
0.41489856842405864,22.12807337948808,-1.4218627289350265,plantbudmintomaxSoS_threshold_NDGI2
0.5596552885862536,21.527418632401698,-0.3203215576018459,plantbudmintomaxSoS_threshold_NDGI3
