R,RMSE,KGE,name,R_rank,RMSE_rank,KGE_rank,rank
0.503838518,23.70067001,-0.641834656,plantbudfilterdoublelogistic_SoS_threshold_EVI13,88,25,16,129
0.491614946,21.50867514,-0.808841201,plantbudfilterdoublelogistic_SoS_threshold_NDVI1,98,19,21,138
0.683632254,29.74156696,-2.053952002,plantbudfilter_cubic_SoS_threshold_NDVI3,26,61,52,139
0.738605568,27.87369238,-2.518204815,plantbudmintomaxdoublelogistic_SoS_threshold_EVI3,15,50,74,139
0.706047325,24.51616316,-2.993178551,plantbudmintomaxdoublelogistic_SoS_threshold_NDGI2,21,29,90,140
0.616025271,27.81641024,-2.200352018,plantbudfilter_cubic_SoS_threshold_NDGI3,49,48,58,155
0.504221712,27.81777217,-1.039737778,plantbudfilterdoublelogistic_SoS_threshold_EVI2,87,49,29,165
0.54797076,24.42397069,-2.383546574,plantbudcubic_SoS_threshold_EVI2,76,27,66,169
0.491278282,26.18609705,-1.328482001,plantbudfilterdoublelogistic_SoS_threshold_NDVI13,100,36,34,170
0.746143577,32.28408895,-3.128097303,plantbuddoublelogistic_SoS_threshold_EVI4,3,77,93,173
0.614518598,28.8620193,-2.510949101,plantbudfilter_cubic_SoS_threshold_PPI2,50,52,73,175
0.726258043,29.50950966,-3.458721121,plantbuddoublelogistic_SoS_threshold_NDVI3,17,59,101,177
0.745072946,31.11079939,-3.294292333,plantbudmintomaxdoublelogistic_SoS_threshold_NDVI3,7,74,98,179
0.712841621,29.12597601,-3.677379411,plantbuddoublelogistic_SoS_threshold_EVI3,18,54,109,181
0.739425773,33.16639811,-3.070847755,plantbudmintomaxdoublelogistic_SoS_threshold_EVI4,12,80,91,183
0.603732955,26.35395087,-3.16843114,plantbudcubic_SoS_threshold_EVI3,53,37,95,185
0.706011021,29.5242944,-3.702729538,plantbudmintomaxdoublelogistic_SoS_threshold_NDGI3,22,60,110,192
0.53334236,24.87445338,-2.64136608,plantbudfilterdoublelogistic_SoS_threshold_NDGI1,82,31,81,194
