phase_early,phase_late,partial_corr_ph,partial_corr_temp,partial_corr_precip,rsquared
开始展叶期,展叶盛期,0.7407467116179074,-0.05042192177774103,0.29966779962270784,74.0
开始展叶期,花序或花蕾出现期,0.5029387087503799,0.008135195097292958,0.2779546284502283,75.0
开始展叶期,开花始期,0.4724825583613884,0.03725892950231963,0.32692778566880304,63.0
开始展叶期,开花盛期,0.400766165459961,0.06388217143964216,0.3407839759330907,62.0
开始展叶期,开花末期,0.3075891827622946,0.1501581534309607,0.33464427890321885,58.0
开始展叶期,果实成熟期,0.12880378119548394,0.0019438600839888534,0.2825979099664438,60.0
开始展叶期,果实脱落开始期,0.1647340451087833,-0.004271325276032304,0.14325443425037168,69.0
开始展叶期,果实脱落末期,0.1414770790702586,-0.09632606611632606,0.1672487714670975,77.0
开始展叶期,叶开始变色期,0.22034473550578587,-0.353820155654438,-0.012827739645997977,51.0
开始展叶期,叶全部变色期,0.19553845285810684,-0.45927067465865606,-0.17451182917131297,59.0
展叶盛期,花序或花蕾出现期,0.31712693976026624,0.2510926300446929,0.16251705068051117,72.0
展叶盛期,开花始期,0.457133780134153,0.1324996935224741,0.3053933545375679,63.0
展叶盛期,开花盛期,0.3694217814863791,0.16060960132920832,0.31071672550755314,61.0
展叶盛期,开花末期,0.24152551503527464,0.22678595440901156,0.33073115570567424,58.0
展叶盛期,果实成熟期,0.11314734153380651,-0.006468089037253374,0.20676120891092842,60.0
展叶盛期,果实脱落开始期,0.05163411611743395,0.020841991834681894,0.1578586540571703,67.0
展叶盛期,果实脱落末期,0.17281334604550685,-0.06412294134393473,0.1686523496819351,74.0
展叶盛期,叶开始变色期,0.2037673076870236,-0.3978367347537964,-0.009077873387362524,54.0
展叶盛期,叶全部变色期,0.1707926746502501,-0.48682478771234305,-0.12506563175840427,59.0
花序或花蕾出现期,开花始期,0.6182679702857312,-0.028537868155977576,0.35257285695254376,68.0
花序或花蕾出现期,开花盛期,0.5412719759637012,0.032486997827436005,0.32173795586295634,65.0
花序或花蕾出现期,开花末期,0.3349071736938919,0.12463342329369345,0.31280097368222004,60.0
花序或花蕾出现期,果实成熟期,0.13758067736224647,-0.0014147680844345536,0.1617205277774192,64.0
花序或花蕾出现期,果实脱落开始期,0.12926081509817477,0.011360190348348655,0.09727953544385333,68.0
花序或花蕾出现期,果实脱落末期,0.03338561864929893,-0.12658758655507116,0.062142172305040606,75.0
花序或花蕾出现期,叶开始变色期,0.16803102986290702,-0.39958540365996936,-0.03659023038891333,56.0
花序或花蕾出现期,叶全部变色期,0.10371552041103951,-0.4618916402396998,-0.16349803284295525,58.0
开花始期,开花盛期,0.8342705121071532,0.028243265695088882,0.3348840679799259,81.0
开花始期,开花末期,0.5293517013152721,0.10813954269786757,0.3421031706443852,62.0
开花始期,果实成熟期,0.17070423891959982,-0.048231626176583296,0.19311937791524494,64.0
开花始期,果实脱落开始期,0.18773375347130195,-0.073713097544748,0.16717455677531345,67.0
开花始期,果实脱落末期,0.19083408249923947,-0.21102695650577957,0.0313888439579046,77.0
开花始期,叶开始变色期,0.1232408329589133,-0.4507052332423661,-0.029024515532178514,57.0
开花始期,叶全部变色期,0.07359037889747282,-0.49640854724489514,-0.16695947683669704,60.0
开花盛期,开花末期,0.600395590791351,0.04235321566704932,0.34356518521336177,66.0
开花盛期,果实成熟期,0.17329436787470842,-0.05732450311094285,0.1981976541889197,63.0
开花盛期,果实脱落开始期,0.14163658384695163,-0.048655658598885286,0.15706292261584293,67.0
开花盛期,果实脱落末期,0.1516552019898324,-0.06348030750291113,0.12625782565415455,76.0
开花盛期,叶开始变色期,0.1259229888760843,-0.43992242370734375,-0.05038968304821867,58.0
开花盛期,叶全部变色期,0.04032486372593602,-0.5051878635958084,-0.14061228280977478,61.0
开花末期,果实成熟期,0.1862258023741147,-0.07631876221723226,0.25947218890259366,63.0
开花末期,果实脱落开始期,0.10627356171783983,-0.13304693260772466,0.2603278174209554,66.0
开花末期,果实脱落末期,0.07775426789705721,-0.14118435909104782,0.13563612829146032,79.0
开花末期,叶开始变色期,0.07077575879673319,-0.4676550128680192,0.003967329186215668,60.0
开花末期,叶全部变色期,-0.04523521272364837,-0.4596951910210531,-0.1525939648332228,61.0
果实成熟期,果实脱落开始期,0.5455364924398274,-0.049411413613081046,0.30791019549483467,81.0
果实成熟期,果实脱落末期,0.2890742353448332,-0.21907122511272636,0.2088146406484323,79.0
果实成熟期,叶开始变色期,0.020041353546583218,-0.3949506119855694,0.08095006776086601,71.0
果实成熟期,叶全部变色期,-0.21453055783818287,-0.4203909177879669,-0.027676412069834757,72.0
果实脱落开始期,果实脱落末期,0.4658057849052401,-0.10665664935146381,0.04238513852099928,83.0
果实脱落开始期,叶开始变色期,-0.06201070686984705,-0.40810500681064565,0.02788919288647339,78.0
果实脱落开始期,叶全部变色期,-0.1719139485413333,-0.2977340081777394,-0.17978756358149622,78.0
果实脱落末期,叶开始变色期,-0.1698693682539074,-0.3578015968459479,-0.0263368130693402,76.0
果实脱落末期,叶全部变色期,-0.14605316908707425,-0.20550099950578005,-0.2654892987828879,79.0
叶开始变色期,叶全部变色期,0.07005443839942073,-0.316597952993817,0.19895206430226003,59.0
