dif,R,RMSE,KGE,name,R_rank,RMSE_rank,all_rank
-16,0.032734801,30.71131508,0.444329794,EOSEoS_filtercubic_threshold_NDVI3,139,49,188
7,0.242849283,41.08284313,-1.160796632,EOSEoS_threshold_NDPI4,50,140,190
-31,0.029301383,30.21811466,0.524217364,EOSEoS_filtercubic_threshold_EVI3,152,40,192
-51,0.252957458,42.31802365,-0.744419749,EOSEoS_mintomaxcubic_threshold_DVI13,42,150,192
-30,0.383320194,50.9809605,-1.355891831,EOSEoS_mintomaxthreshold_NDVI1,7,185,192
-23,0.033040031,30.9202009,0.41583044,EOSEoS_filtercubic_threshold_NDGI3,138,55,193
-30,0.368637011,49.97049129,-1.258340466,EOSEoS_mintomaxthreshold_NDGI2,10,184,194
22,0.124345074,35.91586213,-0.863907158,EOSmintomaxcubiccubic_EoS_EVTNDPI,96,99,195
-16,0.020030219,29.64595003,0.652050201,EOSEoS_filtercubic_threshold_EVI4,162,34,196
-8,0.032436124,31.01504108,0.402700865,EOSEoS_filtercubic_threshold_EVI13,141,57,198
-18,0.187995832,39.52586644,-0.534595168,EOSEoS_mintomaxcubic_threshold_EVI1,69,129,198
-20,0.234990897,41.39106593,-0.686877718,EOSEoS_mintomaxcubic_threshold_NDVI1,56,142,198
-9,0.023950666,30.23660201,0.537140672,EOSEoS_filtercubic_threshold_NDVI4,158,41,199
-9,0.03237149,31.02790828,0.401697244,EOSEoS_filtercubic_threshold_NDVI2,142,58,200
-4,0.246371943,44.3624278,-0.908011345,EOSEoS_threshold_EVI13,45,156,201
-30,0.416380968,53.41855171,-1.478180711,EOSEoS_mintomaxthreshold_NDGI13,3,198,201
-1,0.165884876,39.15375853,-0.543923251,EOSEoS_mintomaxcubic_threshold_NDPI1,77,125,202
-11,0.031950356,31.07296915,0.395800498,EOSEoS_filtercubic_threshold_NDVI13,144,60,204
1,0.014950784,29.75290396,0.65139409,EOSEoS_filtercubic_threshold_NDVI5,169,36,205
-5,0.031475174,31.05903839,0.398695445,EOSEoS_filtercubic_threshold_NDGI2,147,59,206
-30,0.245969907,44.64302857,-0.886156888,EOSEoS_mintomaxthreshold_DVI3,46,160,206
-25,-0.007888617,27.98544039,0.893128904,EOSEoS_cubic_threshold_EVI5,184,23,207
-4,0.064197236,33.30115113,-0.020109602,EOSmintomaxcubiccubic_EoS_EVTDVI,123,85,208
-30,0.183824209,41.07077225,-0.615058697,EOSEoS_mintomaxthreshold_DVI4,71,139,210
-18,0.249637701,46.29236493,-0.968776422,EOSEoS_mintomaxcubic_threshold_NDGI1,43,167,210
-42,0.030612726,31.09513729,0.394848422,EOSEoS_filtercubic_threshold_NDGI13,150,62,212
4,0.269290499,47.64818989,-1.195284751,EOSEoS_threshold_NDPI3,36,176,212
-30,0.289029028,49.65078046,-1.205311452,EOSEoS_mintomaxthreshold_DVI2,32,180,212
-8,0.030739625,31.09770453,0.394337994,EOSEoS_filtercubic_threshold_EVI1,149,64,213
23,-0.042472848,22.61231228,0.286582663,EOSEoS_filterthreshold_EVI5,209,5,214
-8,0.211710694,44.04968785,-0.87259691,EOSEoS_threshold_NDVI3,59,155,214
-13,0.03088994,31.13294885,0.389485772,EOSEoS_filtercubic_threshold_NDVI1,148,67,215
-8,0.325650264,52.13332268,-1.393100172,EOSEoS_threshold_NDGI4,23,192,215
-31,0.04812552,33.28688641,0.067510166,EOSEoS_cubic_threshold_NDPI4,132,84,216
-30,0.337919821,53.09158753,-1.421599925,EOSEoS_mintomaxthreshold_DVI13,20,196,216
-9,-0.012596006,29.46497707,0.430027166,EOSEoS_cubic_threshold_NDPI5,186,31,217
-46,0.030063722,31.14657676,0.388749777,EOSEoS_filtercubic_threshold_NDGI1,151,69,220
-1,0.261382303,49.67276249,-4.769094033,EOScubic_EoS_EVTNDGI,38,182,220
-27,0.00149311,30.25841087,0.506101598,EOSEoS_cubic_threshold_EVI4,179,42,221
0,0.022010693,31.09540753,0.413658728,EOSEoS_filtercubic_threshold_DVI4,160,63,223
-8,0.026565057,31.13834676,0.396834786,EOSEoS_filtercubic_threshold_DVI3,157,68,225
-9,0.026735845,31.18230483,0.390128394,EOSEoS_filtercubic_threshold_DVI2,156,70,226
-11,0.027569341,31.19079265,0.387501429,EOSEoS_filtercubic_threshold_DVI13,155,71,226
0,0.028065331,31.21610767,0.383461502,EOSEoS_filtercubic_threshold_DVI1,154,72,226
-8,0.311961379,54.62447559,-1.495370379,EOSEoS_threshold_EVI1,25,201,226
-5,0.02825639,31.46720315,0.369458747,EOSEoS_filtercubic_threshold_DVI5,153,75,228
-30,0.379631016,58.50584016,-1.752689557,EOSEoS_mintomaxthreshold_NDGI1,8,221,229
20,-0.036259769,28.27159941,-0.080008281,EOSEoS_filterthreshold_NDGI5,205,25,230
-54,0.22079287,47.56137123,-1.0794,EOSEoS_mintomaxcubic_threshold_DVI1,57,175,232
-30,0.310223461,56.44230092,-1.597799126,EOSEoS_mintomaxthreshold_DVI1,27,210,237
-8,0.363956415,60.34387569,-1.844745941,EOSEoS_threshold_NDGI3,13,228,241
-40,0.043751316,38.17375138,-0.319280624,EOSEoS_cubic_threshold_NDPI3,133,117,250
-8,0.143724129,46.25220715,-0.940075324,EOSEoS_threshold_DVI5,86,166,252
20,-0.089055029,24.06605493,0.158229687,EOSEoS_filterthreshold_EVI4,249,7,256
-8,0.235737474,55.63130114,-1.516754703,EOSEoS_threshold_DVI4,55,206,261
-8,0.245369535,57.60801449,-1.63356151,EOSEoS_threshold_NDVI2,47,215,262
-8,0.372114616,69.36533716,-2.335312274,EOSEoS_threshold_NDGI2,9,253,262
-8,0.385556882,71.42274381,-2.445295308,EOSEoS_threshold_DVI2,5,259,264
10,-0.018905498,31.44609901,0.215535363,EOSEoS_cubic_threshold_NDGI5,191,74,265
-8,0.296778427,63.53188176,-1.987262487,EOSEoS_threshold_DVI3,30,237,267
-10,0.022503791,37.40476797,-0.39172078,EOSEoS_mintomaxdoublelogistic_threshold_NDGI5,159,109,268
-8,0.3843414,73.30512715,-2.546028753,EOSEoS_threshold_DVI13,6,264,270
4,-0.051702711,30.48893242,-0.327115772,EOSEoS_filterthreshold_NDPI3,224,47,271
-8,0.28998807,64.33881669,-2.027830423,EOSEoS_threshold_NDVI13,31,241,272
-8,0.364555262,72.30197093,-2.48578085,EOSEoS_threshold_NDGI13,12,261,273
-4,-0.081325606,29.65130689,0.480153687,EOSEoS_mintomaxdoublelogistic_threshold_EVI5,240,35,275
0,0.240092033,59.09646069,-1.787939204,EOSEoS_threshold_NDPI2,52,224,276
9,-0.016642,33.46391091,-0.432881578,EOSEoS_filterthreshold_NDGI4,190,87,277
-8,0.332799462,70.658038,-2.386389265,EOSEoS_threshold_NDVI1,21,256,277
18,-0.141907862,24.47992375,0.085557262,EOSEoS_filterthreshold_NDVI5,269,9,278
7,-0.131476022,25.62355687,-0.018196214,EOSEoS_filterthreshold_NDPI4,264,14,278
-8,0.358161457,74.49161027,-2.600781759,EOSEoS_threshold_DVI1,15,266,281
-57,0.126599833,52.8415262,-1.329690887,EOSEoS_cubic_threshold_NDPI13,91,194,285
15,-0.11258393,28.45874207,-0.097319454,EOSEoS_filterthreshold_EVI3,260,26,286
-10,0.12275168,52.00476707,-1.2701592,EOSEoS_cubic_threshold_NDGI2,97,190,287
-10,-0.050290628,31.10198279,-0.006083632,EOSEoS_mintomaxdoublelogistic_threshold_NDVI5,223,65,288
-5,0.060736607,45.6063721,-0.814683798,EOSEoS_cubic_threshold_NDGI3,125,163,288
13,-0.120345797,28.79699058,-0.160249418,EOSEoS_filterthreshold_NDVI4,262,27,289
-8,0.321063466,74.94459064,-2.613266052,EOSEoS_threshold_NDGI1,24,268,292
-37,-0.14181862,28.93371155,0.412279676,EOSEoS_cubic_threshold_NDVI5,268,28,296
-2,0.279616393,72.83148358,-2.4858164,EOSEoS_threshold_NDPI1,34,263,297
-47,0.124636048,55.15752842,-1.4973715,EOSEoS_cubic_threshold_DVI2,94,204,298
-3,-0.101413517,30.48756577,0.474136956,EOSEoS_doublelogistic_threshold_EVI5,254,46,300
-38,-0.044070941,33.22561025,0.102215222,EOSEoS_cubic_threshold_EVI3,218,82,300
