dif,R,RMSE,KGE,name,,,,,
2.13333333,0.49734457,14.78977152,0.346107692,budfiltercubic_SoS_threshold_EVI5,1,6,6,1,13
0.13333333,0.503077153,14.10631766,0.330242895,budfiltercubic_SoS_threshold_EVI6,2,5,4,2,11
-1.86666667,0.518210014,13.60703461,0.32772006,budfiltercubic_SoS_threshold_EVI7,3,2,1,3,6
-2.86666667,0.52479961,13.62989314,0.304128273,budfiltercubic_SoS_threshold_EVI8,4,1,2,4,7
-4.86666667,0.516625065,13.92998815,0.287072683,budfiltercubic_SoS_threshold_EVI9,5,3,3,5,11
,0.511298899,14.36216264,0.020377351,,,4,5,6,15
