dif,R,RMSE,KGE,name,,,,,
,0.857547761,7.766228607,0.862659865,,,1,1,1,1
-0.86666667,0.84396883,10.09483675,0.654286362,budmintomaxcubic_SoS_threshold_NDPI9,5,5,2,2,
1.13333333,0.846197322,10.73286037,0.60521468,budmintomaxcubic_SoS_threshold_NDPI8,4,4,3,3,
3.13333333,0.841860186,11.64389453,0.555623747,budmintomaxcubic_SoS_threshold_NDPI7,3,6,4,4,
6.13333333,0.84629116,12.40521195,0.517034636,budmintomaxcubic_SoS_threshold_NDPI6,2,3,5,5,
9.13333333,0.848741153,13.44837671,0.45608597,budmintomaxcubic_SoS_threshold_NDPI5,1,2,6,6,
