dif,R,RMSE,KGE,name,,,,,
30.6666667,0.426623793,24.74756041,0.091079755,leaffiltercubic_SoS_threshold_EVI5,1,6,6,1,13
28.6666667,0.445476434,22.96901035,0.079009899,leaffiltercubic_SoS_threshold_EVI6,2,5,5,2,12
26.6666667,0.46185343,21.38488747,0.073434741,leaffiltercubic_SoS_threshold_EVI7,3,4,4,3,11
25.6666667,0.475440503,20.20213508,0.04646161,leaffiltercubic_SoS_threshold_EVI8,4,1,3,4,8
23.6666667,0.472040248,19.24427352,0.032025258,leaffiltercubic_SoS_threshold_EVI9,5,2,2,5,9
,0.470303602,18.49976134,-0.635143737,,,3,1,6,10
