dif,R,RMSE,KGE,name,,,,,
2.5,0.586149335,6.766505019,0.098654528,Budburstmintomaxdoublelogistic_SoS_threshold_EVI7,3,5,3,1,9
-2.5,0.623136345,3.23621542,0.057195051,Budburstmintomaxdoublelogistic_SoS_threshold_EVI9,5,2,1,2,5
-0.5,0.623136345,4.68309978,0.037434096,Budburstmintomaxdoublelogistic_SoS_threshold_EVI8,4,1,2,3,6
4.5,0.600036762,9.032012887,-0.029309587,Budburstmintomaxdoublelogistic_SoS_threshold_EVI6,2,4,4,4,12
7.5,0.600036762,11.92747906,-0.066014409,Budburstmintomaxdoublelogistic_SoS_threshold_EVI5,1,3,5,5,13
