物种名	内容
毛叶丁香	
毛榛	"7．毛榛（东北木本植物图志）毛榛子、火榛子（东北）图版13：11-12
    Corylus mandshurica Maxim. et Rupr. in Bull. Acad. Sci. St. Petersb. 
15: 137. 1856; Burk. in Journ. Linn. Soc. Bot. 26: 505. 1899; Kom. in Acta
Horti Petrop. 22: 63. 1903; Schneid., Ill, Handb. Luabholzk: 1: 150. fig. 83
1-m. 87 d-f. 1904; Nakai in Journ. Coll. Sci. Univ. Tokyo 31: 206. 1911. et
in Bot. Mag. Tokyo 29: 36. 1915; Beргилия, фл. CCCP 5: 268. 1936; 刘慎谔, 
东北木本植物图志214.图版80.图119. 1955;中国高等植物图鉴 1: 398.图795. 1972. ——Corylus rostrata Ait. var. mandshurica (Maxim.) Regel in Acad. Sci. st. Petersb. 15: 221. 1857. ——Corylus sieboldiana Bl. var. mandshurica (Maxim. et Rupr.) Schneid. in Sarg., Pl. Wils. 2: 454. 1916;陈嵘, 中国树木分类学175. 1937; Ohwi, Fl. Jap. 372. 1965; 秦岭植物志1 (2): 59. 图47. 1974. 
    灌木，高31 4米；树皮暗灰色或灰褐色；枝条灰褐色，无毛；小枝黄褐色，被长柔毛，下部的毛较密。叶宽卵形、矩圆形或倒卵状矩圆形，长6-12厘米，宽4-9厘米，顶端骤尖
或尾状，基部心形，边缘具不规则的粗锯齿，中部以上具浅裂或缺刻，上面疏被毛或几无
毛，下面疏被短柔毛，沿脉的毛较密，侧脉约7对；叶柄细瘦，长1-3厘米，疏被长柔毛及
短柔毛。雄花序2-4枚排成总状；苞鳞密被白色短柔毛。果单生或2-6枚簇生，长3-6厘米；果苞管状，在坚果上部缢缩，较果长2-3倍，外面密被黄色刚毛兼有白色短柔毛，上部浅裂，裂片披针形；序梗粗壮，长1.5-2厘米，密被黄色短柔毛。坚果几球形，长约1.5厘米，顶端具小突尖，外面密被白色绒毛。
    产于黑龙江、吉林、辽宁、河北、山西、山东、陕西、甘肃东部、四川东部和北部。生于海拔400-1500米的山坡灌丛中或林下。朝鲜、苏联远东地区、日本也有。模式标本采自黑
龙江流域上游。
    种子可食。"
五角枫	"6. 色木槭（东北木本植物图志）水色树（中国树木分类学），地锦槭（中国高等植物图鉴），五角枫（华北经济植物志要），五角槭（江苏南部种子植物手册）图版19：1 
    Acrer mono Maxim. in Bull. Phys.-Math. Acad. Sc. St. Petersb. 15: 126 (in Mel. Biol. 2: 416. 1857) 1857; Fang in Contrib. Biol. Lab. Sc. Soc-China bot. ser. 11: 25. 1939.——A. pictum Thunb. Fl. Jap. 126. 1784, non Thunb. Nova Acta Reg. Soc. Sc. Upsal. 4: 40. 1783〔＝Kalapanax pictus (Thunb.) Na. kai]; Pax in Engl. Pflanzenreich 8 (IV. 163): 47, 1902.——A. pictum var. typicum subvar. mono (Maxim.) Maxim. in Bull. Acad. Sc. St. Petersb. 26: 443 (in Mel. Biol.10: 600. 1880) 1880; Pax in Engl. Pflanzenreich 8 (IV. 163): 47.1902.——A. pictum var. mono (Maxim.) Maxim. ex Franch. in Nouv. Arch. Mus.Hist.Nat.Paris 11.5: 229 (Pl. David. 2: 77. 1884) 1883.——A. lobelia subsp. pictum (Thunb.) Wesmael in Bull. Soc. Bot. Belg. 29: 56. 1890.——A. pictum var. parviflorum (Regel) Schneid. Ill. Handb. Laubh. 2: 225. f. 151. g. 1907. ——A. truncatum subsp. mono (Maxim.) E. Murr. Kalmia 1: 7. 1969. ——A.cappadocicum subsp. truncatum (Bunge) E. Murr. op. cit. 8: 5. 1977, pro parte. 
    落叶乔木，高达15-20米，树皮粗糙，常纵裂，灰色，稀深灰色或灰褐色。小枝细瘦，无毛，当年生枝绿色或紫绿色，多年生枝灰色或淡灰色，具圆形皮孔。冬芽近于球形，鳞片卵形，外侧无毛，边缘具纤毛。叶纸质，基部截形或近于心脏形，叶片的外貌近于椭圆形，长6-8厘米，宽9-11厘米，常5裂，有时3裂及7裂的叶生于同一树上；裂片卵形，先端锐尖或尾状锐尖，全缘，裂片间的凹缺常锐尖，深达叶片的中段，上面深绿色，无毛，下面淡绿色，除了在叶脉上或脉腋被黄色短柔毛外，其余部分无毛；主脉5条，在上面显著，在下面微凸起，侧脉在两面均不显著；叶柄长4-6厘米，细瘦，无毛。花多数，杂性，雄花与两性花同株，多数常成无毛的顶生圆锥状伞房花序，长与宽均约4厘米，生于有叶的枝上，花序的总花梗长l-2厘米，花的开放与叶的生长同时；萼片5，黄绿色，长圆形，顶端钝. 形，长2-3毫米；花瓣5，淡白色，椭圆形或椭圆倒卵形，长约3毫米；雄蕊8，无毛，比花瓣短，位于花盘内侧的边缘，花药黄色，椭圆形；子房无毛或近于无毛，在雄花中不发育，花，柱无毛，很短，柱头2裂，反卷；花梗长1厘米，细瘦，无毛。翅果嫩时紫绿色，成熟时淡黄色；小坚果压扁状，长1-1.3厘米，宽5-8毫米；翅长圆形，宽5-10毫米，连同小坚果长2-2.5厘米，张开成锐角或近于钝角。花期5月，果期9月。 
    产东北、华北和长江流域各省。生于海拔800-1500米的山坡或山谷疏林中。苏联西伯利亚东部、蒙古、朝鲜和日本也有分布。模式标本采自苏联西伯利亚东部。
    本种分布很广，用途很多，树皮纤维良好，可作人造棉及造纸的原料，叶含鞣质，种子
榨油，可供工业方面的用途，也可作食用，木材细密。可供建筑、车辆、乐器和胶合板等制
造之用。"
六道木	"8. 六道木属 Abelia R. Br. 
    R. Br. in Abel, Narr. Jour. China App. B, 376, t. 1818; Zabel in Mitt. Deutsch. Dendr. Ges. 2: 32. 1893. ——Linnaea Sect. II. Alielia (R. Br.) A. Braun et Vatke in Oesterr. Bot. Zeitschr. 22: 291. 1872, Pro parte; Fritsch in Engl. u. Prantl, Nat. Pflanzenfam. IV. 4: 166. 1891, pro parte. ——Zabelia (Rehd.) Makino in Makinoa 9: 175. 1948. 
      落叶或很少常绿灌木。冬芽小，卵圆形，具数对鳞片。叶对生，稀3枚轮生，全缘或齿牙或圆锯齿，具短柄，无托叶。具单花、双花或多花的总花梗顶生或生于侧枝叶腋，也有三歧分枝的聚伞花序或伞房花序；苞片2-4枚；花整齐或稍呈二唇形；萼筒狭长，矩圆形，萼檐5、4或2裂，裂片扁平，开展，狭矩圆形、椭圆形或匙形，具1、3或7条脉，宿存；花冠白色或淡玫瑰红色，筒状漏斗形或钟形，挺直或弯曲，基部两侧不等或一侧膨大成浅囊，4-5裂；雄蕊4枚，等长或二强，着生于花冠筒中部或基部，内藏或伸出，花药黄色，内向；子房3室，其中2室各具2列不育的胚珠，仅1室具1枚能育的胚珠，花柱丝状，柱头头状。果实为革质瘦果，矩圆形，冠以宿存的萼裂片；种子近圆柱形，种皮膜质；胚乳肉质，胚短，圆柱形。
      约20余种，分布于中国、日本、中亚及墨西哥。我国有9种。
      模式种：糯米条 A. chinensis R. Br. 
     本属植物花期长，开花后花萼裂片宿存增大，常变红色，经久不凋，植株耐寒，为庭园观赏佳品。"
小花溲疏	"系1．小花溲疏系 Ser. Parviflorae Zaikonn. in Бот. Жтрн. СССР 47 (2): 204. 1962 et Дейции-Декорат. Куст. (Моногр. Deutzia) 10. 1966——Ser. Glabratae Zaikonn. op. cit. 206. 1962 et 20. 1966.
    叶具柄或无柄。伞房花序多花；花瓣白色或粉红色；花丝全钻形或内轮的有时具齿；花药具长柄，长均超过花丝齿。
    本系的模式种：小花溲疏 D. parviflora Bge.
    本系有下列3种。"
青杨	"组3．青杨组——Sect. Tacamahaca Spach in Ann. Scti Nat. Bot. ser. 2. 15: 32. 1841. 
    树皮纵裂。芽大，富有粘质，有强烈的香味。叶上面绿色，下面通常白色，长短枝叶形状不同，基部楔形、圆形至浅心形，边缘不具半透明狭边；叶柄圆形或近四棱形，有沟槽，长短不等。雄蕊8-60，花药长椭圆形至球形；柱头2-4裂；花柱短或无。蒴果2-4 (5)瓣裂，花盘宿存。
    本组我国产和引种的计37种(1杂交种），29变种，11变型。"
落叶松	"2. 落叶松亚科——LARICOIDEAE Melchior et Werd.
    Melchior u. Werd. Engler's Syllab. Pflanzenfam. ed. 12. 1: 331. 1954.
    落叶或常绿乔木，有长枝和短枝；叶在长枝上螺旋状散生，在短枝上成簇生状；球果当年或第二至第三年成熟。
    本亚科共3属约20余种，我国产3属12种1变种，引人栽培3种。"
油松	"组4．油松组Sect. Pinus——Pinus sect. Taeda Spach, Hist. Nat. Veg. Phan. 11: 387. 1842.
    种子具有节的长翅。
    本组我国产9种9变种。另引入栽培14种2变种。"
蒿柳	"组28．蒿柳组——Sect. Vimen Dum. Bijdr. Natuurk. Wetensch. 1 (1): 56. 1825.——[Grex] Viminales Bluff et Fingerh. Comp. Fl. Germ. 2: 562. 1825, stat. indef. ——Sect. Viminales (Bluff et Fingerh.) Koch. Syn. Fl. Germ. 647. 1837; 刘慎谔等, 东北木本植物图志, 138. 1955. 
    乔木或灌木。具有较长的柔软枝条，一年生枝有毛。叶条形至披针形，上面深绿色，下面有银白色绢毛，或幼嫩时有丝状毛，后无毛，全缘，或边缘浅波状（稀具密齿如密齿柳S. characta Schneid.) ，常反卷，中脉高起。花序先叶开放或近同时开放，头状至圆柱形，无花序梗或有短梗；苞片2色，两面有白长毛；腺体1, 腹生；雄蕊2,离生，花药金黄色；子房被绢毛，无柄或有柄，花柱长，柱头2裂或叉开不裂。
    本组的模式种：蒿柳Salix vimknalis L.
    本组我国产8种，5变种。"
白桦	"5.白桦（东北）粉桦（东北），桦皮树（河北）图版25
     Betula platyphylla Suk. in Trav. Mus. Bot. Acad. Imp. Sci. St. Petersb. 8: 220. t. 3. 1911;Кузенева, фл. CCCP 5 ; 292. Tабл. 14. pmc. 3. 1936; Hara in Journ. Jap. Bot. 13: 384. 1937; Rehd. in Journ. Arn. Arb. 20: 410. 1939; 刘慎谔, 东北木本植物图志196.图版69. 图98. 图版70. 2.图1-6. 1955; 中
国高等植物图鉴1: 388. 图776. 1972;秦岭植物志1 (2): 55. 图42. 1974.——Betula alba L. subsp. 4. latifolioa tauschii Regel in Bull. Soc. Nat. Moscou 38 (2): 399. t. 7. fig. 11-14. 1865.——Betula alba subsp. 3. 7nandshurica Regel, l. c. fig. 15. 1865. ——Betula latifolza Kom. in Acta Horti Petrop. 22: 38. 1903. ——Betula japanica Sieb. ex H. Winkl. in Engler, Pflenzenreich 19 (IV-61): 78. 1904. ——Betula japonica Sieb. var. mandshurica (Regel) H. Winkl. l. c. ——Betula mandshurica (Regel) Nakai in Bot. Mag. Tokyo 29: 42. 1915; 刘慎谔, 文献同上197. 图版69. 图99. 图版70. 3. 图1-7. 1955. ——Betula japonica Sieb. var. rockii Rehd., l. c. 9: 25. 1928.——Betula japonica Sieb. var. szechuanica Schneid., l. c. 3: 454. 1917 .——Betula platyphylla Suk. var. mandshuriPa (Regel) Hara, l. c.;胡先骕, 中国森林树木图志2: 37.图版15.图1-5. 1948.——Betula　platyphyla Suk. var. szechuanica (Schneid.) Rehd., l. c. 20: 311. 1939; 胡先骕, 中国森林树木图志2: 37.图版15.图1-5. 1948. 2: 39. 图版15. 图7. 1948. ——Betula szechuanica (Schneid.) Jans. in Acta Horti Gotoburg. 25: 113. fig. 4-7. 1962. ——Betula verrucosa Ehrh. var. platyphylla (Suk.) Lindq. ex Jans., l. c. 124. fig. 12-14. 1962.  
    乔木，高可达27米；树皮灰白色，成层剥裂；枝条暗灰色或暗褐色，无毛，具或疏或密
的树脂腺体或无；小枝暗灰色或褐色，无毛亦无树脂腺体，有时疏被毛和疏生树脂腺体。叶
厚纸质，三角状卵形，三角状菱形，三角形，少有菱状卵形和宽卵形，长3-9厘米，宽2-
7.5厘米，顶端锐尖、渐尖至尾状渐尖，基部截形，宽楔形或楔形，有时微心形或近圆形，边缘具重锯齿，有时具缺刻状重锯齿或单齿，上面于幼时疏被毛和腺点，成熟后无毛无腺点，
下面无毛，密生腺点，侧脉5-7(-8)对；叶柄细瘦，长1-2.5厘米，无毛。果序单生，圆
柱形或矩圆状圆柱形，通常下垂，长2-5厘米，直径6-14毫米；序梗细瘦，长1-2.5厘
米，密被短柔毛，成熟后近无毛，无或具或疏或密的树脂腺体；果苞长5-7毫米，背面密被
短柔毛至成熟时毛渐脱落，边缘具短纤毛，基部楔形或宽楔形，中裂片三角状卵形，顶端渐
尖或钝，侧裂片卵形或近圆形，直立、斜展至向下弯，如为直立或斜展时则较中裂片稍宽且
微短，如为横展至下弯时则长及宽均大于中裂片。小坚果狭矩圆形、矩圆形或卵形，长1.5
-3毫米，宽约1-1.5毫米，背面疏被短柔毛，膜质翅较果长1 /3，较少与之等长，与果等
宽或较果稍宽。
    产于东北、华北、河南、陕西、宁夏、甘肃、青海、四川、云南、西藏东南部。生海拔4004100米的山坡或林中，适应性大，分布甚广，尤喜湿润土壤，为次生林的先锋树种。我国大、小兴安岭及长白山均有成片纯林，在华北平原和黄土高原山区、西南山地亦为阔叶落
叶林及针叶阔叶混交林中的常见树种。苏联远东地区及东西伯利亚、蒙古东部、朝鲜北
部、日本也有。模式标本采自苏联远东地区。
    木材可供一般建筑及制作器、具之用，树皮可提桦油，白桦皮在民间常用以编制日用器
具。本种易栽培，可为庭园树种。
    本种是亚洲东部的一个广布树种，由于该种形态上的复杂变异，致使长期以来在命名
上引起许多分歧意见。Hara (1937) ,Rehder (1939)均对本种的分类做过专门的研究，
C. A. Janson（1962）还专门著文讨论。我们对产于我国的大量白桦标本进行了研究，
认为，即使从地理上划分为区域性的种下等级，也是无法鉴别的。因此把分布于我国东
北、华北、西北、西南及分布在苏联远东及东西伯利亚地区、蒙古、朝鲜、日本等地的该类群植物均定为Betula platyphylla Suk. 。 由于其分布区域很广，形态变异也大，有待
于各有关学科的综合研究并对目前分类学上的划分进行检验。"
裂叶榆	"8. 裂叶榆（河北习见树木图说）青榆、大青榆、麻榆（河北），大叶榆、粘榆（东北），尖尖榆（山西翼城）图版109
        Ulmus laciniata (Trautv.) Mayr, Fremdl. Wald-u. Parkbaume fur. Europa 523. t. 243. 1906, pro parte; Schneid. in Sarg. Pl. Wilson. 3: 255. 1916; Chun, Chinese Econ. Trees 110. t. 41. 1921; Nakai Fl. Sylv. Kor. 19: 16. t. 2-3. 1932;周汉藩, 河北习见树木图说83.图48. 1934; Kom. Fl. URSS 5: 372. t. 20. f. 8. 1936; 陈嵘, 中国树木分类学211.图148. 1937; Rehd. Man. Cult. Trees and Shrubs ed. 2. 177. 1940; 东北木本植物图志230.图版85.图136. 1955; 仓田悟, 原色日本林业树木图鉴1: 118. t. 59. 1971; 中国高等植物图鉴1: 465.图930. 1972; 傅立国, 东北林学院学报1980(3): 15. 1980; 河南植物志1: 261. 图321. 1981; 内蒙古植物志1: 244.图72(1-2). 1985;河北植物志1: 27.图232. 1986;辽宁植物志, 上册: 268.图104(7). 1988; 山西植物志1: 300.图版181. 1992. ——U. montana With. var. laciniata Trautv. in Mem. Sav. Acad. Sci. St. Petersb. Sav, Etrang 9: 246. 1859. ——U. major Hopen. var. heterophylla Maxim. et Rupr. in Bull. Phys. -Math. Acad. Sci. St. Petersb. 15: 376. 1856. ——U. laciniata (Trautv.) Mayr f. holophylla Nakai Fl. Sylv. Kor. 19: 18. t. 4. 1932. 
        落叶乔木，高达27米，胸径50厘米；树皮淡灰褐色或灰色，浅纵裂，裂片较短，常翘起，表面常呈薄片状剥落；一年生枝幼时被毛，后变无毛或近无毛，二年生枝淡褐灰色、淡灰褐色或淡红褐色，小枝无木栓翅；冬芽卵圆形或椭圆形，内部芽鳞毛较明显。叶倒卵形、倒三角状、倒三角状椭圆形或倒卵状长圆形，长7-18厘米，宽4-14厘米，先端通常3-7裂，裂片三角形，渐尖或尾状，不裂之叶先端具或长或短的尾状尖头，基部明显地偏斜，楔形、微圆、半心脏形或耳状，较长的一边常覆盖叶柄，与柄近等长，其下端常接触枝条，边缘具较深的重锯齿，叶面密生硬毛，粗糙，叶背被柔毛，沿叶脉较密，脉腋常有簇生毛，侧脉每边10-17条，叶柄极短，长2-5毫米，密被短毛或下面的毛较少。花在去年生枝上排成簇状聚伞花序。翅果椭圆形或长圆状椭圆形，长1.5-2厘米，宽1-1.4厘米，除顶端凹缺柱头面被毛外，余处无毛，果核部分位于翅果的中部或稍向下，宿存花被无毛，钟状，常5浅裂，裂片边缘有毛，果梗常较花被为短，无毛。花果期4-5月。
       分布黑龙江、吉林、辽宁、内蒙古、河北、陕西、山西及河南。生于海拔700-2 200米地带之山坡、谷地、溪边之林中。前苏联、朝鲜、日本也有分布。
       边材黄色或淡褐黄色，心材暗红灰褐色；木材纹理直或斜行，重量及硬度适中。可供家具、车辆、器具、造船及室内装修等用材。
        本种叶面密生硬毛，粗糙，小枝无毛，与同一分布区的大果榆  U. macrocarpa Hance
相同。在有花、有果及裂叶榆叶端3-7裂的情况下，两者极易鉴别，反之易于混淆。其区别在于本种的叶柄极短，长2-5毫米，叶的基部常明显地偏斜，较长的一边常覆盖叶柄，与柄近等长，其下端常接触枝条，二年生枝淡褐灰色、淡灰褐色或淡红褐色。"
蒙椴	"12.蒙椴（东北木本植物图志）小叶椴，白皮椴，米椴
        Tilia mongolica Maxim. in Bull. Acad. Sci. Petersb. 26: 433. 1880, in Mel. Biol. 10: 585 1880;胡先骕?陈焕镛, 中国植物图谱4:30. 图版180. 1935. 东北木本植物图志419. 图版134. 图325. 1955；中国高等植物图鉴2: 792. 图3313. 1972.
          乔木，高10米，树皮淡灰色，有不规则薄片状脱落；嫩枝无毛，顶芽卵形，无毛。叶阔卵形或圆形，长4-6厘米，宽3.5-5.5厘米，先端渐尖，常出现3裂，基部微心形或斜截形，上面无毛，下面仅脉腋内有毛丛，侧脉4-5对，边缘有粗锯齿，齿尖突出；叶柄长2-3.5厘米，无毛，纤细。聚伞花序长5-8厘米，有花6-12朵，花序柄无毛；花柄长5-8毫米，纤细；苞片窄长圆形，长3.5-6厘米，宽6-10毫米，两面均无毛，上下两端钝，下半部与花序柄合生，基部有柄长约1厘米；萼片披针形，长4-5毫米，外面近无毛；花瓣长6-7毫米；退化雄蕊花瓣状，稍窄小；雄蕊与萼片等长；子房有毛，花柱秃净。果实倒卵形，长6-8毫米，被毛，有棱或有不明显的棱。花期7月。
          产于内蒙古、河北、河南、山西及江宁西部。模式标本采自内蒙古南部。"
大花溲疏	"亚组2. 大花溲疏亚组 Subsect. Grandiflorae Rehd. in Sargent, Pl. Wils. 1: 21. 1911 et Man. Cult. Trees ＆ Shrubs 287. 1927; Schneid. Ill. Handb. Laubh. 2: 931. 1912; Nakai in Bot. Mag. Tokyo 35: 93. 1921 et Fl. Sylv. Kor. 15: 56. 1926; Engl. in Engl. u. Prantl, Nat. Pflanzenfam. Aufl. 2, 18a: 199. 1930. ——Sect. Deutzia Subsect. Stenosepalae Schneid. Ser. Grandiflorae (Rehd.) Krussmann, Handb. Laubgeh. 1, 6: 391. 1960; Zaikonn. Дейции-Декорат. Куст. (Моногр. Deutzia) 103. 1966. 
    单花或2-3花排成聚伞花序；花大；花萼裂片线状披针形或三角形，较萼筒长或近等长，果时宿存，外弯；雄蕊内外轮形状相同，花丝齿平展至下弯成钩状，稀上举，子房半下位。
    本亚组的模式种：大花溲疏 D. grandiflora Bge.
    本亚组有下列2种。"
小叶鼠李	"25. 小叶鼠李（东北木本植物图志）琉璃枝（河南），麻绿，叫驴子，刺（亨利氏中国植物名录），大绿（中国植物学杂志），黑格铃（内蒙古、河北）
    Rhamnus parvifolia Bunge, Enum. Pl. China Bor. 14. 1831; Schneid. Ill. Handb. Laubholzk. 2: 285, f. 192 i-1, 195 x-y. 1909; 陈嵘, 中国树木分类学742. 1937; J. Vass. in Not. Syst. Inst. Bot. Acad. Sci. URSS 8: 113. 1940; Grub. in Act. Inst. Bot. Acad. Sci. URSS ser. 1, 8: 333. 1949; 刘慎谔等, 东北木本植物图志405. 1955; 中国高等植物图鉴2: 761.图3252. 1972; H. L. Li, Fl. Taiw. 3: 659. 1977. ——R. poiymorphus Turcz. in Bull. Soc. Nat. Mosc. 15: 713. 1842. ——R. owiakensis Hayata, Ic. Pl. Formos. 6: 14. 1916.——R. globosa Bunge var. ziziphifolia Tang in Bull. Fan. Mem. Inst. Biol. 2: 101, 105. 1931. syn. nov. ——R. pianensis Kanehira, Formos. Trees rev. ed. 425, f. 382. 1936, nom. nud.——R. tumetica Grub. in Not. Syst. Inst. Bot. Acad. Sci. URSS 12: 129. 1950. syn. nov.
    灌木，高1.5-2米；小枝对生或近对生，紫褐色，初时被短柔毛，后变无毛，平滑，稍有光泽，枝端及分叉处有针刺；芽卵形，长达2毫米，鳞片数个，黄褐色。叶纸质，对生或近对生，稀兼互生，或在短枝上簇生，菱状倒卵形或菱状椭圆形，稀倒卵状圆形或近圆形，长1.2-4厘米，宽0.8-2(3)厘米，顶端钝尖或近圆形，稀突尖，基部楔形或近圆形，边缘具圆齿状细锯齿，上面深绿色，无毛或被疏短柔毛，下面浅绿色，干时灰白色，无毛或脉腋窝孔内有疏微毛，侧脉每边2-4条，两面凸起，网脉不明显；叶柄长4-15毫米，上面沟内有细柔毛；托叶钻状，有微毛。花单性，雌雄异株，黄绿色，4基数，有花瓣，通常数个簇生于短枝上；花梗长4-6毫米，无毛；雌花花柱2半裂。核果倒卵状球形，直径4-5毫米，成熟时黑色，具2分核，基部有宿存的萼筒；种子矩圆状倒卵圆形，褐色，背侧有长为种子4/5的纵沟。花期4-5月，果期6-9月。
    产黑龙江、吉林、辽宁、内蒙古、河北、山西、山东、河南、陕西。常生于向阳山坡、草丛或灌丛中，海拔400-2300米。蒙古、朝鲜、苏联西伯利亚地区也有分布。模式标本采自北京郊区。
    本种叶形及其大小常多变异，与甘青鼠李R. tangutica J. Vass.比较近似，但后者小枝无毛，有光泽，叶通常椭圆形或倒卵状椭圆形，下面干时常变黄色，与本种可以区别。本种与卵叶鼠李R. bungeana J. Vass.有时常被混淆，但后者叶卵形或卵状披针形，下面干时变黄色，沿脉和脉腋有白色短柔毛，种子背面有宽沟，与本种容易区别。Grubow发表的R. tumetica Grub.除植株较矮小，多分枝和叶较小外，其余性状与本种无显著的区别，应予以合并。该种可能是本种生于干旱多岩石山坡的一个矮小的类型。"
迎红杜鹃	"亚属4．迎红杜鹃亚属 Subgen. Rhodorastrum (Maxim.) C. B. Clarke in Hook. f. Fl. Brit. Ind. 3: 474. 1882. ——Sect. Rhodorastrum Maxim. Rhodod. Asiae Or. 15.  1870.——Ser. Dauricum sensu Hutch. in Stevenson, Spec. Rhodod. 224. 1930; David-ian, Rhodod. Spec. 1: 117. 1982.——Subsect. Rhodorastra (Maxim. ) Cullen in Not. Bot. Gard. Edinb. 36: 112. 1978 et in ibid. 39: 111. 1980. 
        小至中等大小的灌木，落叶或常绿、半常绿。幼枝有鳞片。叶下面被鳞片，鳞片相互邻接或覆瓦状，或相距为其直径的4倍。花序腋生或数个花芽聚生枝顶叶腋成假顶生，每芽1朵花；花萼不发育，长0.5-1毫米；花冠宽漏斗状，淡红色至紫红色，稀白色，外面无鳞片，稀疏生鳞片，被短柔毛；雄蕊10，花丝下部被短柔毛；子房5室，密被鳞片，无毛，花柱细长，劲直，洁净。蒴果小，长圆形。种子无翅。
          亚属的模式种：兴安杜鹃 Rhododendron dauricum L.
        本亚属通常被认为有2种，原苏联学者认为有4种（E. Bunch in Fl. URSS. 18: 46-55. 1952 ），分布亚洲东北部至朝鲜、日本。我国有2种。"
照山白	"亚组13．照山白亚组 Subsect. Micrantha (Hutch.) Sleumer in Bot. Jahrb. 74: 533. 1949. ——Ser. Micranthum sensu Hutch. in Stevenson, Spec. Rhodod. 500. 1930. 
        灌木，高可达3米。枝纤细，被鳞片。叶常绿，下面密被鳞片，或被不明显的蛛丝状毛。花序顶生，总状，多花，具有一明显的花序轴；花冠钟状，白色或黄色，外面被鳞片；雄蕊10，不等长；子房5室，密被鳞片，花柱伸直。蒴果小型，被鳞片。种子具突出的翅和鳍棱。
        亚组的模式种：照山白 Rhododendron micranthum Turcz.
        本亚组共3种，分布于我国和朝鲜。我国均产。"
胡桃楸	"组2. 胡桃楸组——Sect. 2. Cardiocaryon Dode in Bull. Soc. Dendr. France
11: 22. 1909. 
    芽被有黄褐色茸毛。羽状复叶具小叶7-25枚；小叶有锯齿，下面或多或少有柔毛或
星芒状毛或腺毛。雌花序具5-10花。花药有毛。果实被有密茸毛；果核基部不完全2
室，表面常多皱曲。"
华北落叶松	"8. 华北落叶松（中国树木分类学）落叶松（通用名），雾灵落叶松（东北木本植物图志）图版43：7-12
    Larix principis-rupprechtii Mayr, Fremdl. Wald-und Parkb. 309. f. 94-95. 1906; Beissn. in Mitt. Deutsch. Dendr Ges. 15: 96. 1906, et Handb. Nadelh. ed. 319. 1909; Fedde in Repert. Nov. Sp. 8: 90. 1910; Kitagawa in Rep. Inst. Sci. Res. Manch. 3 (1): 46. 1939, et in Journ. Jap. For. Soc. 24 (3): 118. 1924;郝景盛, 中国裸子植物志75. 1945,再版64. 1951;刘慎谔等, 东北木本植物图志83.图版2.图6. 1955; 郑万钧等, 中国树木学1: 170.图74 (6-9). 1961; Gaussen, Gymnosp. 512. 522. 525. 1966;中国科学院植物研究所, 中国高等植物图鉴1: 304.图607. 1972; Bobr. in Novit. Syst. Pl. Vascul. 9: 11. 1972. ——Larix dahurica var. principis-rupprechtii (Mayr) Rehd. et Wils. in Sarg. Pl. Wilson. 2: 21. 1914; Rehd. in Journ. Arn. Arb. 4: 121. 1923, et Man. Cult. Trees and Shrubs 52. 1927; 胡先骕、陈焕镛, 中国植物图谱1: 1.图版1. 1927; Beissn. u. Fitsch. Handb. Nadelh. ed. 3. 308. 1930. ——Larix gmelini var. principis-rupprechtii (Mayr) Pilger in Engler. u. Prantl, Pflanzenfam. ed. 2. 13: 327. 1926; Ostenf. and Syrach. L. in Pflanzenareale 2: 7. 1930, et in Biol. Meddel. Dansk Videsic. Selsk. 9 (2): 56. f. 19. 1930; 周汉藩, 河北习见树木图说6.图3. 1934,不包括东北及朝鲜的植物; 陈嵘, 中国树木分类学27.图17. 1937; Rehd. Man. cult. Trees and Shrubs ed. 2. 33. 1940, et Bibliogr. 30. 1949; Dallimore and Jackson, rev. Harrison, Handb. Conif. and Ginkgo. ed. 4. 302. 1966.——Larix wutingshanensis Liou et Wang,东北木本植物图志84. 547. 图版2. 图7; 1955, 陈嵘, 同上, 补编 2. 1957.
    乔木，高达30米，胸径1米；树皮暗灰褐色，不规则纵裂，成小块片脱落；枝平展，具不规则细齿；苞鳞暗紫色，近带状矩圆形，长0.8-l.2厘米，基部宽，中上部微窄，先端圆截形，中肋延长成尾状尖头，仅球果基部苞鳞的先端露出；种子斜倒卵状椭圆形，灰白色，具不规则的褐色斑纹，长3-4毫米，径约2毫米，种翅上部三角状，中部宽约4毫米，种子连翅长1-1.2厘米; 子叶5-7枚，针形，长约1厘米，下面无气孔线。花期4-5月，球果10月成熟。
    我国特产，为华北地区高山针叶林带中的主要森林树种。产于河北围场、承德、雾灵山海拔1400-1800米，东灵山、西灵山、百花山、小五台山、太行山（易县、涞源）海拔1900-2500米及山西五台山、芦芽山、管涔山、关帝山、恒山等高山上部海拔1800-2800米地带。常与白扦、青扦、棘皮桦、白桦、红桦、山杨及山柳等针阔叶树种混生，或成小面积单纯林。模式标本采自山西五台山。
    木材淡黄色或淡褐色，材质坚韧，结构致密，纹理直，含树脂，耐久用。可供建筑,桥梁, 电杆、舟车、器具、家具、木纤维工业原料等用。树干可割取树脂，树皮可提取栲胶。华北落叶松生长快，材质优良，用途大，对不良气候的抵抗力较强，并有保土、防风的效能，可作分布区内以及黄河流域高山地区及辽河上游高山地区的森林更新和荒山造林树种。"
