dif,R,RMSE,KGE,name,R_rank,RMSE_rank,KGE_rank,rank
13.25,0.401433696,18.45176856,-1.698046773,leaffiltercubic_SoS_threshold_EVI1,14,3,1,18
9.25,0.39952299,17.67441876,-2.206433962,leaffiltercubic_SoS_threshold_EVI13,15,1,6,22
6.25,0.406019859,19.49560577,-3.113127166,leaffiltercubic_SoS_threshold_EVI2,12,4,20,36
-5.75,0.372443145,17.88068091,-2.243926035,leaffiltercubic_SoS_threshold_NDPI1,29,2,7,38
12.25,0.330242561,19.57234584,-2.164386377,leaffiltercubic_SoS_threshold_NDVI1,42,5,5,52
9.25,0.357290132,19.64867033,-3.08051478,leaffiltercubic_SoS_threshold_NDVI13,32,6,18,56
-10.75,0.352499849,20.78371522,-3.3217141,leaffiltercubic_SoS_threshold_NDPI13,34,7,25,66
6.25,0.361809591,21.97361141,-4.112827228,leaffiltercubic_SoS_threshold_NDVI2,31,11,40,82
15.25,0.387767218,22.76041979,-4.617273617,leafmintomaxdoublelogistic_SoS_threshold_EVI1,21,15,54,90
-34.75,0.261584536,24.60923754,-2.358899319,leaffilterSoS_threshold_EVI3,65,27,10,102
10.25,0.387774012,23.26680219,-5.390695664,leafmintomaxdoublelogistic_SoS_threshold_EVI13,20,20,65,105
1.25,0.424213895,26.45509382,-5.142013979,leaffiltercubic_SoS_threshold_EVI3,8,40,63,111
-14.75,0.356152098,25.05975357,-4.681992612,leaffiltercubic_SoS_threshold_NDPI2,33,31,56,120
7.25,0.386400787,24.88339065,-6.074818034,leafmintomaxdoublelogistic_SoS_threshold_EVI2,23,30,75,128
13.25,0.331145409,24.77656137,-5.77680068,leafmintomaxdoublelogistic_SoS_threshold_NDVI1,40,28,69,137
12.25,0.211436759,22.85765146,-3.933326964,leaffiltercubic_SoS_threshold_PPI1,92,16,35,143
7.25,0.232929338,23.18418818,-4.418969242,leaffiltercubic_SoS_threshold_NDGI2,76,19,48,143
9.25,0.19063749,22.33596421,-3.267473614,leaffiltercubic_SoS_threshold_NDGI13,112,12,24,148
1.25,0.387294728,28.80979095,-5.922158241,leaffiltercubic_SoS_threshold_NDVI3,22,56,71,149
13.25,0.175840639,23.16614605,-2.422443768,leaffiltercubic_SoS_threshold_NDGI1,124,18,11,153
-34.75,0.174522948,24.16064959,-2.342153581,leafmintomaxSoS_threshold_EVI3,126,24,9,159
-34.75,0.139364264,20.96533584,-2.519685528,leaffilterSoS_threshold_EVI2,139,8,12,159
8.25,0.330574493,26.00753554,-6.738940277,leafmintomaxdoublelogistic_SoS_threshold_NDVI13,41,39,84,164
-37.75,0.288188182,33.67170497,-3.225834914,leafmintomaxSoS_threshold_EVI4,59,86,22,167
1.25,0.388443371,28.83147903,-7.218197259,leafmintomaxdoublelogistic_SoS_threshold_EVI3,19,57,92,168
-5.75,0.425608282,33.75202158,-6.404729035,leaffiltercubic_SoS_threshold_EVI4,6,87,78,171
-14.75,0.12250026,21.72472224,-2.866296422,leaffilterSoS_threshold_EVI13,151,10,16,177
1.25,0.136734987,23.28673879,-2.644655846,leaffilterSoS_threshold_EVI1,143,22,13,178
-29.25,0.087842949,21.58047373,-1.846005571,leafcubic_SoS_threshold_EVI4,169,9,3,181
17.25,0.303376833,27.45713661,-6.752010052,leafmintomaxdoublelogistic_SoS_threshold_NDGI1,54,43,85,182
4.25,0.331543599,28.01813608,-7.549633907,leafmintomaxdoublelogistic_SoS_threshold_NDVI2,38,49,97,184
2.25,0.287349688,28.29594066,-6.590331121,leaffiltercubic_SoS_threshold_NDGI3,60,51,81,192
-20.75,0.332088408,32.40944299,-6.654145302,leaffiltercubic_SoS_threshold_NDPI3,37,77,83,197
-37.75,0.248936334,35.21644469,-3.392568441,leaffilterSoS_threshold_EVI4,72,100,28,200
-38.25,0.126418644,27.83373568,-2.007885849,leafcubic_SoS_threshold_EVI5,149,48,4,201
12.25,0.305928871,27.79732813,-7.838457726,leafmintomaxdoublelogistic_SoS_threshold_NDGI13,53,46,103,202
-14.75,0.097628212,22.56459176,-3.361750859,leaffilterSoS_threshold_NDVI13,164,13,27,204
-3.75,0.390729627,32.98730667,-8.178519393,leafmintomaxdoublelogistic_SoS_threshold_EVI4,18,81,107,206
-20.25,0.065077709,22.73833541,-3.11239467,leafcubic_SoS_threshold_EVI3,178,14,19,211
-3.75,0.379646606,32.6340968,-8.392079562,leafdoublelogistic_SoS_threshold_EVI4,26,80,109,215
8.25,0.188706575,25.60565923,-5.504163089,leaffiltercubic_SoS_threshold_PPI13,115,36,67,218
