dif,R,RMSE,KGE,name,R_rank,RMSE_rank,KGE_rank,rank
7,0.052891285,49.79345421,-28.3197591,buddoublelogistic_SoS_threshold_NDVI1,218,171,226,615
-41,0.027315415,49.46024443,-26.93820518,budSoS_threshold_NDPI3,228,168,223,619
-69,-0.317848198,55.934606,-15.10607366,budfilterdoublelogistic_SoS_threshold_PPI3,257,204,162,623
-12,0.077981677,60.27388578,-20.41423095,budmintomaxdoublelogistic_SoS_threshold_PPI3,209,217,200,626
-42.5,0.101411626,58.68094076,-26.41323371,budcubic_SoS_threshold_PPI4,198,211,218,627
6,0.041873072,50.58159796,-29.54896121,buddoublelogistic_SoS_threshold_NDGI13,224,178,228,630
38,0.173777505,61.77279698,-45.38520378,budmintomaxcubic_SoS_threshold_PPI1,160,225,245,630
26,0.187375753,61.76771318,-50.10355702,budmintomaxcubic_SoS_threshold_PPI2,156,224,253,633
-47,0.077955644,67.00488563,-18.34222461,budfilterSoS_threshold_PPI4,210,237,188,635
-2,0.222278107,67.82929393,-51.28664403,budmintomaxcubic_SoS_threshold_PPI4,141,241,254,636
2,-0.001930695,50.55427255,-30.46301183,buddoublelogistic_SoS_threshold_NDGI2,231,177,229,637
34,0.176556004,62.11867318,-48.32294082,budmintomaxcubic_SoS_threshold_PPI13,159,229,250,638
-27,0.151041089,60.73561897,-46.47614775,budmintomaxcubic_SoS_threshold_NDPI3,175,219,249,643
-83,-0.110733636,54.59165061,-20.899426,budfilterdoublelogistic_SoS_threshold_NDPI4,245,199,201,645
-47,-0.03005698,67.96804906,-16.3658028,budmintomaxSoS_threshold_PPI4,235,242,172,649
-5,0.109560401,59.06288212,-43.93679836,budmintomaxdoublelogistic_SoS_threshold_NDPI1,194,212,243,649
6,0.166348542,63.75601745,-51.82369349,budmintomaxcubic_SoS_threshold_PPI3,167,230,255,652
11,0.029558599,54.12638097,-30.49882231,buddoublelogistic_SoS_threshold_NDGI1,227,197,230,654
-17,0.086766975,68.07478508,-22.4864758,budmintomaxdoublelogistic_SoS_threshold_PPI4,207,243,205,655
-70,-0.03190663,59.17098963,-23.2872101,budSoS_threshold_NDGI5,236,213,208,657
-77,-0.317118224,62.03285752,-16.83175813,budfilterdoublelogistic_SoS_threshold_PPI4,256,228,175,659
-9,0.200970467,74.77981435,-45.77383362,budmintomaxcubic_SoS_threshold_PPI5,151,263,246,660
-89,-0.112992473,59.46018772,-22.42104028,budfilterdoublelogistic_SoS_threshold_NDPI5,246,214,204,664
-43,0.086927579,59.80288038,-44.29842296,budSoS_threshold_PPI3,205,216,244,665
-24,0.07133803,67.45034246,-24.05925953,budSoS_threshold_NDPI1,216,238,213,667
-11,0.110133395,61.751162,-49.06602019,budmintomaxdoublelogistic_SoS_threshold_NDPI13,192,223,252,667
-78,-0.027532821,77.04529524,-16.04896687,budmintomaxSoS_threshold_PPI5,233,268,168,669
-31,0.127099864,66.53929079,-52.93697414,budmintomaxcubic_SoS_threshold_NDPI4,182,235,258,675
-78,0.04243983,76.79843364,-18.56250273,budfilterSoS_threshold_PPI5,223,266,189,678
-28,0.203127421,74.1056409,-72.8930659,buddoublelogistic_SoS_threshold_NDPI4,149,260,269,678
-22,0.087006902,74.12790914,-24.38517608,budmintomaxdoublelogistic_SoS_threshold_PPI5,204,261,214,679
-15,0.111333186,64.09107223,-53.08170335,budmintomaxdoublelogistic_SoS_threshold_NDPI2,188,232,259,679
-84,-0.316863494,67.59908773,-18.30675625,budfilterdoublelogistic_SoS_threshold_PPI5,254,239,187,680
-50.5,0.03446978,68.18403088,-23.38907567,budcubic_SoS_threshold_PPI5,226,245,209,680
-22,0.111589799,68.17907009,-59.50616288,budmintomaxdoublelogistic_SoS_threshold_NDPI3,187,244,264,695
-11,0.128787113,72.62944059,-55.44684751,buddoublelogistic_SoS_threshold_NDPI13,181,256,261,698
-22,0.094662166,73.62594896,-38.8093079,buddoublelogistic_SoS_threshold_PPI5,202,258,240,700
-47,0.075741558,68.48043605,-40.73808239,budSoS_threshold_PPI4,214,247,241,702
-15,0.126618931,72.1306118,-60.2085465,buddoublelogistic_SoS_threshold_NDPI2,183,254,265,702
-22,0.142175554,74.22217959,-68.83384571,buddoublelogistic_SoS_threshold_NDPI3,176,262,267,705
-28,0.11089899,71.77439994,-64.7902674,budmintomaxdoublelogistic_SoS_threshold_NDPI4,190,253,266,709
-34,0.107124579,72.16327105,-58.6540107,budmintomaxcubic_SoS_threshold_NDPI5,195,255,263,713
-33,0.132619752,75.85986694,-75.45997502,buddoublelogistic_SoS_threshold_NDPI5,180,265,270,715
-17,0.062369656,70.47418756,-46.2592392,buddoublelogistic_SoS_threshold_PPI4,217,252,248,717
-78,0.015485431,77.01479735,-26.60058061,budSoS_threshold_PPI5,230,267,222,719
-5,0.075948174,73.43875782,-48.45670789,buddoublelogistic_SoS_threshold_NDPI1,213,257,251,721
4,-0.028669584,66.22308186,-52.8635462,buddoublelogistic_SoS_threshold_PPI1,234,234,257,725
-33,0.110062596,75.27765918,-69.70288847,budmintomaxdoublelogistic_SoS_threshold_NDPI5,193,264,268,725
-2,-0.073630397,65.76152754,-53.22224575,buddoublelogistic_SoS_threshold_PPI13,239,233,260,732
-12,-0.034379144,68.20791007,-52.75122646,buddoublelogistic_SoS_threshold_PPI3,237,246,256,739
-6,-0.079672595,68.51010889,-57.8679572,buddoublelogistic_SoS_threshold_PPI2,240,248,262,750
