dif,R,RMSE,KGE,name,R_rank,RMSE_rank,all_rank
-26.86666667,0.629423205,16.29869964,-1.073088588,budfilterSoS_threshold_EVI1,1,2,3
-27.86666667,0.602702298,19.41184253,-1.224770245,budfilterSoS_threshold_EVI13,2,4,6
-5.86666667,0.511298899,14.36216264,0.020377351,budfiltercubic_SoS_threshold_EVI1,9,1,10
-26.86666667,0.516766234,20.34529973,-2.279141682,budmintomaxSoS_threshold_EVI1,8,7,15
-27.86666667,0.503243269,20.80341378,-1.801159053,budmintomaxSoS_threshold_EVI13,12,9,21
-34.86666667,0.580761596,23.41343122,-1.238203072,budfilterSoS_threshold_EVI2,3,21,24
-12.86666667,0.455612506,18.01246459,-0.461665048,budfiltercubic_SoS_threshold_EVI13,22,3,25
-26.86666667,0.456932215,20.20388848,-1.921842487,budfilterSoS_threshold_NDVI1,20,6,26
-34.86666667,0.507133868,24.08888496,-1.967491839,budmintomaxSoS_threshold_EVI2,10,23,33
-26.86666667,0.437864436,21.5600671,-1.312565768,budfilterSoS_threshold_NDVI13,25,11,36
-8.86666667,0.37668928,19.42057425,-0.606675941,budfiltercubic_SoS_threshold_NDPI1,35,5,40
-27.86666667,0.470853814,25.60377301,-1.655176085,budfilterSoS_threshold_NDVI2,17,29,46
-17.86666667,0.406131598,22.57047964,-1.054264363,budfiltercubic_SoS_threshold_EVI2,32,16,48
-26.86666667,0.44203332,25.06106375,-3.07686098,budfilterSoS_threshold_NDGI2,24,26,50
68.13333333,0.333767862,21.92270314,-2.001335336,budmintomaxSoS_threshold_NDVI1,46,14,60
-26.86666667,0.325274559,22.33531986,-1.31287893,budmintomaxSoS_threshold_NDVI13,50,15,65
-14.86666667,0.420120892,27.19014257,-4.837343537,budmintomaxcubic_SoS_threshold_EVI2,28,39,67
-7.86666667,0.481036068,29.51024847,-5.667969925,budmintomaxcubic_SoS_threshold_EVI13,15,52,67
-14.86666667,0.329392193,23.95199263,-1.237919153,budfiltercubic_SoS_threshold_NDPI13,49,22,71
-55.86666667,0.486868604,30.75998203,-1.610898474,budmintomaxSoS_threshold_EVI3,14,60,74
-55.86666667,0.463528645,30.32896175,-1.705560736,budSoS_threshold_EVI3,19,58,77
-26.86666667,0.331298861,26.20348385,-3.794750274,budfilterSoS_threshold_NDGI13,47,31,78
-0.86666667,0.431938103,29.588616,-3.643488078,budfilterSoS_threshold_NDGI1,26,53,79
-26.86666667,0.3367953,26.49531402,-1.853213788,budmintomaxSoS_threshold_NDVI2,45,35,80
-26.86666667,0.416418769,29.08341775,-5.77596756,budmintomaxSoS_threshold_NDPI1,29,51,80
-6.86666667,0.270768136,21.14340543,-1.265879533,budmintomaxdoublelogistic_SoS_threshold_EVI1,71,10,81
-55.86666667,0.503848909,31.77509599,-1.685663328,budfilterSoS_threshold_EVI3,11,70,81
-26.86666667,0.323580533,26.34605667,-3.298367587,budmintomaxSoS_threshold_NDGI2,51,33,84
-27.86666667,0.408199766,30.65519697,-5.996129221,budmintomaxSoS_threshold_NDPI13,30,59,89
-33.36666667,0.245933897,21.67429157,-1.230065127,budcubic_SoS_threshold_EVI3,83,13,96
49.13333333,0.301373298,26.79890497,-3.261800171,budmintomaxSoS_threshold_NDGI1,59,38,97
-12.86666667,0.262151932,24.3798135,-1.786000635,budmintomaxdoublelogistic_SoS_threshold_EVI13,74,24,98
-28.86666667,0.449473707,32.75616762,-2.785662643,budfilterSoS_threshold_NDGI3,23,76,99
-26.86666667,0.266690401,25.16550208,-3.017429509,budmintomaxSoS_threshold_NDGI13,73,27,100
-0.86666667,0.471847295,34.09840231,-5.590168432,budmintomaxcubic_SoS_threshold_EVI1,16,84,100
-34.86666667,0.367401292,31.16524054,-5.739380254,budSoS_threshold_EVI2,38,64,102
-26.86666667,0.33045605,29.7514258,-5.387912087,budfilterSoS_threshold_PPI13,48,55,103
-23.86666667,0.359193218,31.38763656,-5.378299865,budmintomaxcubic_SoS_threshold_EVI3,39,66,105
-26.86666667,0.381903209,31.93047433,-4.11544991,budfilterSoS_threshold_PPI1,34,71,105
-33.86666667,0.357795389,31.72175581,-4.931167829,budmintomaxSoS_threshold_NDPI2,40,69,109
-27.86666667,0.426147974,33.95006706,-8.563065403,budSoS_threshold_EVI13,27,83,110
-25.86666667,0.343299047,31.65249921,-2.241562184,budfiltercubic_SoS_threshold_EVI3,44,68,112
